B	Blood_vessels	CD4T	CD8T	DC	Fap	Lymphatic_vessels	MA	MDSC_G	MDSC_M	MO	NK	Treg	Tumor
B	14	34	20	14	3	2	0	1	0	0	0	0	9	86
Blood_vessels	34	38824	3348	2672	44	467	130	250	116	212	40	227	3348	32096
CD4T	20	3348	3390	917	12	167	153	57	29	58	0	57	1247	11154
CD8T	14	2672	917	3840	20	30	33	20	54	45	5	87	749	20033
DC	3	44	12	20	4	1	18	0	1	0	0	0	13	170
Fap	2	467	167	30	1	864	19	24	1	6	0	10	27	820
Lymphatic_vessels	0	130	153	33	18	19	1252	2	0	0	0	0	75	199
MA	1	250	57	20	0	24	2	64	3	8	2	4	15	506
MDSC_G	0	116	29	54	1	1	0	3	1210	6	0	9	31	2116
MDSC_M	0	212	58	45	0	6	0	8	6	198	6	9	40	487
MO	0	40	0	5	0	0	0	2	0	6	2	1	8	85
NK	0	227	57	87	0	10	0	4	9	9	1	252	44	1622
Treg	9	3348	1247	749	13	27	75	15	31	40	8	44	3858	9352
Tumor	86	32096	11154	20033	170	820	199	506	2116	487	85	1622	9352	728768
