N	B	CD8	CD4	M	DC	Endo	Mo	Lymp_Ves	NK	Treg	S	Tumor
N	108	0	48	21	5	0	52	8	1	8	9	0	555
B	0	702	53	156	8	0	10	4	4	0	42	6	203
CD8	48	53	14796	2525	146	88	2437	85	85	384	1373	48	36860
CD4	21	156	2525	3232	86	21	1329	85	181	336	595	57	10877
M	5	8	146	86	1172	0	324	154	96	106	34	17	1104
DC	0	0	88	21	0	30	44	4	3	12	31	1	491
Endo	52	10	2437	1329	324	44	29476	613	774	480	1822	192	20336
Mo	8	4	85	85	154	4	613	682	57	52	56	9	1097
Lymp_Ves	1	4	85	181	96	3	774	57	37376	79	282	59	5573
NK	8	0	384	336	106	12	480	52	79	766	104	25	1891
Treg	9	42	1373	595	34	31	1822	56	282	104	1412	24	8327
S	0	6	48	57	17	1	192	9	59	25	24	590	345
Tumor	555	203	36860	10877	1104	491	20336	1097	5573	1891	8327	345	932334
