estimate	sd	zvalue	pvalue	term	condition	comparison	OR
-3.15893545121819	0.536393599710143	-5.88921167762856	3.88042158847499e-09	conditionUNT:comparisonMo_vs_Mo	UNT	Mo_vs_Mo	0.0424709293998134
-2.61437090880417	0.542741886864322	-4.8169691193518	1.45755235268602e-06	conditionUNT:comparisonMo_vs_NK	UNT	Mo_vs_NK	0.0732138323889918
-2.97529183543601	0.617940037718539	-4.81485525103845	1.47306627512173e-06	conditionAd-IL12+Ad-CCL5:comparisonB_vs_CD8	AdIL12+AdCCL5	B_vs_CD8	0.0510325387275851
-2.4288181127879	0.59612134844993	-4.07436861488597	4.6139352100293e-05	conditionAd-IL12+Ad-CCL5:comparisonB_vs_CD4	AdIL12+AdCCL5	B_vs_CD4	0.0881409437006763
-2.05992300756281	0.522402331929394	-3.94317345398301	8.04104539709464e-05	conditionAd-IL12+Ad-CCL5:comparisonDC_vs_DC	AdIL12+AdCCL5	DC_vs_DC	0.127463783264366
-1.99341113970489	0.57169539666791	-3.48684133425485	0.00048876123419522	conditionUNT:comparisonM_vs_S	UNT	M_vs_S	0.136229932634183
-2.07384208032019	0.595828441846087	-3.48060269478694	0.000500286994690868	conditionAd-IL12+Ad-CCL5:comparisonDC_vs_Lymp_Ves	AdIL12+AdCCL5	DC_vs_Lymp_Ves	0.125701895955662
-1.81334452848752	0.53634216677699	-3.38094716547152	0.000722364312585241	conditionUNT:comparisonM_vs_M	UNT	M_vs_M	0.163107705167512
-3.86919131412461	1.15682209933869	-3.34467271703788	0.000823797187093226	conditionUNT:comparisonDC_vs_NK	UNT	DC_vs_NK	0.0208752441161951
-1.68041696758308	0.524160767895568	-3.20591900521231	0.00134631877978683	conditionAd-IL12+Ad-CCL5:comparisonDC_vs_Treg	AdIL12+AdCCL5	DC_vs_Treg	0.186296280332493
-1.87781744308548	0.593782548435273	-3.16246654273333	0.00156438710892191	conditionUNT:comparisonB_vs_CD4	UNT	B_vs_CD4	0.152923506047498
-1.70123889101513	0.54844010164373	-3.10195933141349	0.00192244367147806	conditionUNT:comparisonM_vs_NK	UNT	M_vs_NK	0.182457339214285
-2.65602845634599	0.886480335953231	-2.99615044871804	0.00273411502166986	conditionAd-IL12+Ad-CCL5:comparisonB_vs_M	AdIL12+AdCCL5	B_vs_M	0.0702265765440752
-1.73841564253229	0.584746131836714	-2.97294081633657	0.00294961320218806	conditionUNT:comparisonN_vs_NK	UNT	N_vs_NK	0.17579870808549
-1.77310148560587	0.615957127612905	-2.87861184832358	0.00399429613666017	conditionUNT:comparisonNK_vs_S	UNT	NK_vs_S	0.169805521900718
-1.52718720210274	0.544268690969116	-2.80594351180381	0.00501694864771504	conditionUNT:comparisonEndo_vs_N	UNT	Endo_vs_N	0.217145595786336
-1.6679171344391	0.600815492725387	-2.77608875708777	0.00550171869114521	conditionAd-IL12+Ad-CCL5:comparisonDC_vs_NK	AdIL12+AdCCL5	DC_vs_NK	0.188639567591206
-1.46033038153268	0.537995558614509	-2.71439114719357	0.00663977171950003	conditionUNT:comparisonS_vs_Tumor	UNT	S_vs_Tumor	0.232159560826495
-1.46632160073334	0.54220504492601	-2.70436731353807	0.00684345947026754	conditionUNT:comparisonM_vs_Mo	UNT	M_vs_Mo	0.230772800349165
-1.54823682041891	0.57316168470823	-2.70122176992177	0.00690852559683106	conditionAd-IL12+Ad-CCL5:comparisonB_vs_Treg	AdIL12+AdCCL5	B_vs_Treg	0.212622535232797
-1.50480593255599	0.557399545267156	-2.69968991782142	0.00694041300442673	conditionUNT:comparisonDC_vs_Endo	UNT	DC_vs_Endo	0.222060384341788
-1.42204444771388	0.536081211570687	-2.65266608308725	0.00798588295181703	conditionUNT:comparisonEndo_vs_Mo	UNT	Endo_vs_Mo	0.24122035003777
-1.47992354052925	0.56605193428635	-2.61446600724907	0.00893670527696111	conditionAd-IL12+Ad-CCL5:comparisonLymp_Ves_vs_Lymp_Ves	AdIL12+AdCCL5	Lymp_Ves_vs_Lymp_Ves	0.227655094106398
-1.98220444596867	0.763460306832151	-2.59634250560253	0.00942220902090893	conditionUNT:comparisonB_vs_M	UNT	B_vs_M	0.137765206370318
-1.32702206041142	0.513688656799439	-2.58331976547719	0.00978545806436998	conditionAd-IL12+Ad-CCL5:comparisonEndo_vs_Mo	AdIL12+AdCCL5	Endo_vs_Mo	0.26526603248008
-1.38945885292457	0.538008218295106	-2.58259782225563	0.0098059558569315	conditionAd-IL12+Ad-CCL5:comparisonMo_vs_Treg	AdIL12+AdCCL5	Mo_vs_Treg	0.249210127480535
-1.34400023321931	0.535826115404115	-2.50827683567771	0.0121321575733255	conditionUNT:comparisonN_vs_Tumor	UNT	N_vs_Tumor	0.260800317057446
-1.26619053498227	0.515882158783561	-2.45441815233137	0.0141112784203036	conditionAd-IL12+Ad-CCL5:comparisonCD8_vs_NK	AdIL12+AdCCL5	CD8_vs_NK	0.281903480325
-1.31445398527331	0.536540028992179	-2.4498712383908	0.0142907308557524	conditionUNT:comparisonNK_vs_NK	UNT	NK_vs_NK	0.268620954201154
-1.3509328138749	0.553647088762745	-2.44006126157708	0.0146847714025772	conditionUNT:comparisonCD8_vs_N	UNT	CD8_vs_N	0.25899855048665
-1.27327202902889	0.535224853314696	-2.37894787796829	0.0173621307486359	conditionUNT:comparisonEndo_vs_Tumor	UNT	Endo_vs_Tumor	0.2799142342375
-1.21080441079166	0.516740751331034	-2.34315642355057	0.0191213644603791	conditionAd-IL12+Ad-CCL5:comparisonCD8_vs_DC	AdIL12+AdCCL5	CD8_vs_DC	0.297957502772665
-1.22391524918225	0.540159988483826	-2.26583840950097	0.0234612787367239	conditionAd-IL12+Ad-CCL5:comparisonCD8_vs_N	AdIL12+AdCCL5	CD8_vs_N	0.29407652712173
-1.32645423217644	0.586961814419738	-2.25986461059268	0.0238296549125635	conditionUNT:comparisonMo_vs_S	UNT	Mo_vs_S	0.265416700795918
-1.19854302618874	0.530609936603402	-2.25880245262836	0.0238956759057358	conditionAd-IL12+Ad-CCL5:comparisonMo_vs_NK	AdIL12+AdCCL5	Mo_vs_NK	0.301633363829797
-1.44932797193698	0.642836534407316	-2.25458245504548	0.0241595497438043	conditionAd-IL12+Ad-CCL5:comparisonLymp_Ves_vs_S	AdIL12+AdCCL5	Lymp_Ves_vs_S	0.234727978890534
-1.38730568078646	0.618487860711205	-2.2430604849563	0.0248929143699534	conditionUNT:comparisonB_vs_Treg	UNT	B_vs_Treg	0.249747297886204
-1.50201030536662	0.682204585538467	-2.20170068804372	0.0276864581019913	conditionUNT:comparisonB_vs_Mo	UNT	B_vs_Mo	0.222682050959095
-1.56814731492227	0.726409657026451	-2.15876441034864	0.03086844887987	conditionAd-IL12+Ad-CCL5:comparisonLymp_Ves_vs_M	AdIL12+AdCCL5	Lymp_Ves_vs_M	0.208430981833982
-1.05912536024218	0.510048472732909	-2.07651903076436	0.037845972874724	conditionAd-IL12+Ad-CCL5:comparisonCD8_vs_Treg	AdIL12+AdCCL5	CD8_vs_Treg	0.346758966913174
-1.10454956241048	0.538590371044031	-2.05081565099162	0.0402849028108552	conditionAd-IL12+Ad-CCL5:comparisonS_vs_Tumor	AdIL12+AdCCL5	S_vs_Tumor	0.3313601056788
-1.09704225664431	0.535205567129442	-2.04975867969434	0.0403879856467411	conditionUNT:comparisonTumor_vs_Tumor	UNT	Tumor_vs_Tumor	0.333857088389785
-1.09275531987138	0.535593082936166	-2.04027153203847	0.0413232885827672	conditionUNT:comparisonEndo_vs_Treg	UNT	Endo_vs_Treg	0.335291384791295
-1.04018235728207	0.516732174404207	-2.01300094866631	0.0441145295529975	conditionAd-IL12+Ad-CCL5:comparisonCD4_vs_NK	AdIL12+AdCCL5	CD4_vs_NK	0.353390232800208
-1.19076794871675	0.599713086349203	-1.98556272294413	0.0470818990508425	conditionUNT:comparisonB_vs_CD8	UNT	B_vs_CD8	0.303987727420917
-1.05449117819917	0.535424789307775	-1.96944780902369	0.0489016902613816	conditionUNT:comparisonNK_vs_Tumor	UNT	NK_vs_Tumor	0.348369640285185
-1.0466969690645	0.535541126374844	-1.95446608582564	0.0506461218522653	conditionUNT:comparisonM_vs_Tumor	UNT	M_vs_Tumor	0.351095515338199
-1.0403562870484	0.535227802165761	-1.94376353926061	0.0519239724422288	conditionUNT:comparisonCD8_vs_Tumor	UNT	CD8_vs_Tumor	0.353328773064588
-1.02808858739492	0.535249483537745	-1.92076521139216	0.0547613141456938	conditionUNT:comparisonCD4_vs_Tumor	UNT	CD4_vs_Tumor	0.35769000075153
-0.976102447824431	0.509124924008228	-1.91721599512315	0.0552104968309767	conditionAd-IL12+Ad-CCL5:comparisonCD8_vs_CD8	AdIL12+AdCCL5	CD8_vs_CD8	0.376776747807504
-1.03027248858744	0.537869231029653	-1.91547020939489	0.0554325648109959	conditionUNT:comparisonDC_vs_Tumor	UNT	DC_vs_Tumor	0.356909693499442
-1.11850834754936	0.587563067622406	-1.90363964174169	0.0569571322671623	conditionUNT:comparisonN_vs_Treg	UNT	N_vs_Treg	0.326766853849516
-1.01642036720273	0.536576663102751	-1.89426867975451	0.0581893560468997	conditionUNT:comparisonEndo_vs_NK	UNT	Endo_vs_NK	0.361888050697072
-0.963204657795151	0.512559186329067	-1.87920670136378	0.0602162749697259	conditionAd-IL12+Ad-CCL5:comparisonEndo_vs_NK	AdIL12+AdCCL5	Endo_vs_NK	0.381667809327522
