comparison	sum_counts
B_vs_B	8760
B_vs_CD4	1108
B_vs_CD8	458
B_vs_Endo	620
B_vs_M	44
B_vs_Mo	72
B_vs_Treg	413
B_vs_Tumor	2410
CD4_vs_CD4	149584
CD4_vs_CD8	43503
CD4_vs_DC	529
CD4_vs_Endo	44058
CD4_vs_Lymp_Ves	1279
CD4_vs_M	4001
CD4_vs_Mo	6767
CD4_vs_N	1405
CD4_vs_NK	2211
CD4_vs_S	746
CD4_vs_Treg	14540
CD4_vs_Tumor	229412
CD8_vs_CD8	179622
CD8_vs_DC	1099
CD8_vs_Endo	42274
CD8_vs_Lymp_Ves	1334
CD8_vs_M	1926
CD8_vs_Mo	3447
CD8_vs_N	994
CD8_vs_NK	2367
CD8_vs_S	417
CD8_vs_Treg	13449
CD8_vs_Tumor	389366
DC_vs_DC	1610
DC_vs_Endo	1631
DC_vs_Lymp_Ves	91
DC_vs_M	135
DC_vs_Mo	107
DC_vs_NK	51
DC_vs_Treg	579
DC_vs_Tumor	11259
Endo_vs_Endo	381698
Endo_vs_Lymp_Ves	2054
Endo_vs_M	6295
Endo_vs_Mo	7662
Endo_vs_N	1707
Endo_vs_NK	3753
Endo_vs_S	4672
Endo_vs_Treg	22822
Endo_vs_Tumor	270661
Lymp_Ves_vs_Lymp_Ves	62910
Lymp_Ves_vs_M	130
Lymp_Ves_vs_Mo	97
Lymp_Ves_vs_NK	116
Lymp_Ves_vs_S	132
Lymp_Ves_vs_Treg	1533
Lymp_Ves_vs_Tumor	14399
M_vs_M	23248
M_vs_Mo	4401
M_vs_N	866
M_vs_NK	738
M_vs_S	335
M_vs_Treg	956
M_vs_Tumor	27187
Mo_vs_Mo	12280
Mo_vs_N	1508
Mo_vs_NK	1005
Mo_vs_S	165
Mo_vs_Treg	1209
Mo_vs_Tumor	43495
N_vs_N	14840
N_vs_NK	296
N_vs_Treg	146
N_vs_Tumor	24553
NK_vs_NK	4232
NK_vs_S	144
NK_vs_Treg	752
NK_vs_Tumor	27462
S_vs_S	8554
S_vs_Treg	404
S_vs_Tumor	4644
Treg_vs_Treg	23106
Treg_vs_Tumor	86789
Tumor_vs_Tumor	8341880
