comparison	UNT	Ad-IL12	Ad-IL12+Ad-CCL5
B_vs_B	158	1176	7426
B_vs_CD4	31	847	230
B_vs_CD8	20	239	199
B_vs_Endo	130	210	280
B_vs_M	5	36	3
B_vs_Mo	18	33	21
B_vs_Treg	12	227	174
B_vs_Tumor	337	1511	562
CD4_vs_CD4	9564	127054	12966
CD4_vs_CD8	2829	23328	17346
CD4_vs_DC	90	229	210
CD4_vs_Endo	6991	31177	5890
CD4_vs_Lymp_Ves	74	571	634
CD4_vs_M	1953	1459	589
CD4_vs_Mo	2837	3720	210
CD4_vs_N	1006	325	74
CD4_vs_NK	642	1243	326
CD4_vs_S	81	542	123
CD4_vs_Treg	2180	9268	3092
CD4_vs_Tumor	32426	163706	33280
CD8_vs_CD8	9082	41228	129312
CD8_vs_DC	189	243	667
CD8_vs_Endo	6915	17519	17840
CD8_vs_Lymp_Ves	41	271	1022
CD8_vs_M	887	599	440
CD8_vs_Mo	1752	1384	311
CD8_vs_N	499	220	275
CD8_vs_NK	546	1051	770
CD8_vs_S	51	149	217
CD8_vs_Treg	1675	5571	6203
CD8_vs_Tumor	59384	151162	178820
DC_vs_DC	298	652	660
DC_vs_Endo	188	340	1103
DC_vs_Lymp_Ves	4	27	60
DC_vs_M	25	6	104
DC_vs_Mo	81	14	12
DC_vs_NK	1	20	30
DC_vs_Treg	136	234	209
DC_vs_Tumor	2066	2779	6414
Endo_vs_Endo	128230	169854	83614
Endo_vs_Lymp_Ves	73	993	988
Endo_vs_M	4610	1329	356
Endo_vs_Mo	4980	2313	369
Endo_vs_N	1124	393	190
Endo_vs_NK	1374	1515	864
Endo_vs_S	1740	2480	452
Endo_vs_Treg	4413	11544	6865
Endo_vs_Tumor	74775	135664	60222
Lymp_Ves_vs_Lymp_Ves	280	40440	22190
Lymp_Ves_vs_M	16	102	12
Lymp_Ves_vs_Mo	19	58	20
Lymp_Ves_vs_NK	6	82	28
Lymp_Ves_vs_S	7	84	41
Lymp_Ves_vs_Treg	28	392	1113
Lymp_Ves_vs_Tumor	605	7058	6736
M_vs_M	8034	9498	5716
M_vs_Mo	3238	999	164
M_vs_N	812	37	17
M_vs_NK	338	283	117
M_vs_S	158	121	56
M_vs_Treg	630	148	178
M_vs_Tumor	15945	7781	3461
Mo_vs_Mo	7510	4250	520
Mo_vs_N	1392	71	45
Mo_vs_NK	462	424	119
Mo_vs_S	103	35	27
Mo_vs_Treg	861	295	53
Mo_vs_Tumor	31591	9707	2197
N_vs_N	12228	1814	798
N_vs_NK	215	60	21
N_vs_Treg	43	59	44
N_vs_Tumor	17810	5278	1465
NK_vs_NK	1434	1790	1008
NK_vs_S	20	88	36
NK_vs_Treg	234	302	216
NK_vs_Tumor	9520	9264	8678
S_vs_S	1740	5380	1434
S_vs_Treg	46	269	89
S_vs_Tumor	824	2967	853
Treg_vs_Treg	4042	11514	7550
Treg_vs_Tumor	22054	41472	23263
Tumor_vs_Tumor	2963258	3554920	1823702
