comparison	log_odds_ratio	norm_interactions	interactions_counts	expected_counts	condition	mouse
N_vs_N	1.14441807909627	0.00890263211719641	11614	832.844163023902	UNT	999
B_vs_N	0.0945698501124453	9.19859434731438e-06	12	9.65194892376096	UNT	999
CD8_vs_N	-0.175561713662623	0.000364874611809992	476	713.130083514802	UNT	999
CD4_vs_N	0.0844656520845022	0.00075274544119817	982	808.436438075445	UNT	999
M_vs_N	0.214668367472099	0.000548844965669997	716	436.761868725749	UNT	999
DC_vs_N	-4.30564721838601	7.66543141083356e-11	0	2.02137652786647	UNT	999
Endo_vs_N	-0.218192792942511	0.000815601978767005	1064	1758.46796816032	UNT	999
Mo_vs_N	0.127276316380051	0.000946680855892259	1235	921.277949069037	UNT	999
Lymp_Ves_vs_N	-0.807342686270495	7.66619795397465e-07	1	6.41779903411032	UNT	999
N_vs_NK	0.0199131120461021	0.000156374877435319	204	194.857563698286	UNT	999
N_vs_Treg	-0.757690546476637	1.99301983224814e-05	26	148.82146136279	UNT	999
N_vs_S	-0.532870860449053	2.29970607756418e-06	3	10.2330852320576	UNT	999
N_vs_Tumor	-0.212408809826285	0.0127468459697294	16629	27119.0795946519	UNT	999
B_vs_B	2.94256023510878	7.5121304480483e-05	98	0.111857802651391	UNT	999
B_vs_CD8	0.161964838831445	9.19859434731438e-06	12	8.26456550657812	UNT	999
B_vs_CD4	0.443277869702705	1.99301983224814e-05	26	9.36908434355863	UNT	999
B_vs_M	-0.102225135637451	3.06624921864753e-06	4	5.06169513571573	UNT	999
B_vs_DC	-2.36969848708635	7.66543141083356e-11	0	0.0234260187786134	UNT	999
B_vs_Endo	0.431177748700828	4.21599494138987e-05	55	20.3791342561958	UNT	999
B_vs_Mo	0.202009530962666	1.30313100527312e-05	17	10.6768205911607	UNT	999
B_vs_Lymp_Ves	-2.8714373822477	7.66543141083356e-11	0	0.0743767816722004	UNT	999
B_vs_NK	0.600478797937224	6.89896492406431e-06	9	2.25823189466285	UNT	999
B_vs_Treg	0.365354015046321	3.06624921864753e-06	4	1.72471298666218	UNT	999
B_vs_S	-3.07405786011052	7.66543141083356e-11	0	0.118592673608589	UNT	999
B_vs_Tumor	-0.335957912702111	0.000111148832111401	145	314.286853084994	UNT	999
CD8_vs_CD8	0.712536798674284	0.00241461097106689	3150	610.623858090525	UNT	999
CD4_vs_CD8	0.369532150431325	0.00124256650835043	1621	692.230756001115	UNT	999
CD8_vs_M	0.169089429633322	0.000423131890532327	552	373.981162081502	UNT	999
CD8_vs_DC	0.66484318597203	6.13242178298096e-06	8	1.73082129422441	UNT	999
CD8_vs_Endo	0.217761668775546	0.00190562632538754	2486	1505.70354535376	UNT	999
CD8_vs_Mo	0.190785765628939	0.000938248881340342	1224	788.852284651352	UNT	999
CD8_vs_Lymp_Ves	0.163104290810681	6.13242178298096e-06	8	5.49529643644145	UNT	999
CD8_vs_NK	0.277364940503148	0.000242227709236655	316	166.848489601123	UNT	999
CD8_vs_Treg	0.317975461732852	0.000203134009041403	265	127.429675180897	UNT	999
CD8_vs_S	0.203519535079426	1.07316806294811e-05	14	8.7621685426183	UNT	999
CD8_vs_Tumor	-0.108393375556719	0.0138682985851344	18092	23220.9485937451	UNT	999
CD4_vs_CD4	0.86914902546029	0.00445054955378428	5806	784.744017458348	UNT	999
CD4_vs_M	0.511607122717185	0.0010555299819261	1377	423.961918827408	UNT	999
CD4_vs_DC	-0.292685924696656	7.66619795397465e-07	1	1.96213711129867	UNT	999
CD4_vs_Endo	0.306105750498909	0.00264764008595623	3454	1706.93347419005	UNT	999
CD4_vs_Mo	0.408741822274941	0.00175691695601737	2292	894.278541760577	UNT	999
CD4_vs_Lymp_Ves	0.381625907207709	1.14982237705645e-05	15	6.22971598021666	UNT	999
CD4_vs_NK	0.417805884813113	0.000379438931490575	495	189.146975775564	UNT	999
CD4_vs_Treg	0.501117874432837	0.000351076835270491	458	144.460029228618	UNT	999
CD4_vs_S	0.508062610490356	2.45294571689815e-05	32	9.93318959634664	UNT	999
CD4_vs_Tumor	-0.231794172366348	0.0118331265455581	15437	26324.3150216515	UNT	999
