estimate	sd	zvalue	pvalue	term	condition	comparison	OR
2.74317219242694	0.375355548813287	7.3081967246779	2.70751209794768e-13	conditionAd-IL12:comparisonS_vs_S	AdIL12	S_vs_S	15.5361907968917
2.20338035447512	0.421901145025895	5.22250385061145	1.76519885447976e-07	conditionAd-IL12:comparisonB_vs_DC	AdIL12	B_vs_DC	9.0555728658508
1.55876719820097	0.306748146751767	5.08158635906085	3.74295776171377e-07	conditionAd-IL12:comparisonB_vs_Tumor	AdIL12	B_vs_Tumor	4.75295817648895
1.24258771283012	0.300702863517854	4.13227761882068	3.59186217834078e-05	conditionAd-IL12:comparisonCD4_vs_Tumor	AdIL12	CD4_vs_Tumor	3.46456717988676
1.23421749231192	0.302958043587967	4.07388916859556	4.62344905160219e-05	conditionAd-IL12:comparisonB_vs_M	AdIL12	B_vs_M	3.43568901549463
1.21953643321927	0.300529251149082	4.05796250633287	4.95027128044328e-05	conditionAd-IL12:comparisonNK_vs_Tumor	AdIL12	NK_vs_Tumor	3.38561790979513
1.24682058067077	0.337355926379088	3.69586090884234	0.000219142929565506	conditionAd-IL12:comparisonN_vs_S	AdIL12	N_vs_S	3.4792633163432
1.06707731063678	0.300954322442546	3.54564540550996	0.000391652843105103	conditionAd-IL12:comparisonCD8_vs_Tumor	AdIL12	CD8_vs_Tumor	2.90687119095137
0.996143057144648	0.299983836966117	3.32065576338755	0.000898062301922054	conditionAd-IL12:comparisonMo_vs_Tumor	AdIL12	Mo_vs_Tumor	2.70781776340437
1.08806335010478	0.335308060156619	3.2449662844268	0.0011746453049713	conditionAd-IL12:comparisonDC_vs_DC	AdIL12	DC_vs_DC	2.96851951906839
0.950082215694304	0.300564947488153	3.16098807806506	0.00157234933895927	conditionAd-IL12:comparisonCD45+_vs_Tumor	AdIL12	CD45+_vs_Tumor	2.58592225396995
0.926685610132862	0.301832767409942	3.07019551947539	0.00213918680425968	conditionAd-IL12:comparisonTreg_vs_Tumor	AdIL12	Treg_vs_Tumor	2.52612273173424
0.95733173400803	0.312209973286582	3.06630734415803	0.0021672042052081	conditionAd-IL12:comparisonB_vs_N	AdIL12	B_vs_N	2.60473706145192
0.961425446229687	0.315737522556501	3.04501485425332	0.00232668818158213	conditionAd-IL12:comparisonB_vs_Endo	AdIL12	B_vs_Endo	2.61542196092448
0.9090438231659	0.303503620492424	2.99516632352196	0.00274295228726265	conditionAd-IL12:comparisonN_vs_Treg	AdIL12	N_vs_Treg	2.481948217044
0.882642943540139	0.300224577043605	2.93994233327521	0.00328273336570621	conditionAd-IL12:comparisonCD4_vs_M	AdIL12	CD4_vs_M	2.41728000589391
0.873435543350744	0.299938955641157	2.91204435743822	0.00359071640718692	conditionAd-IL12:comparisonTumor_vs_Tumor	AdIL12	Tumor_vs_Tumor	2.39512529168557
1.00627493922638	0.348450919986291	2.8878527261916	0.00387881437338725	conditionAd-IL12:comparisonCD8_vs_DC	AdIL12	CD8_vs_DC	2.73539250983148
1.58522582159667	0.566214608798477	2.79969078325365	0.0051151579608987	conditionAd-IL12:comparisonB_vs_S	AdIL12	B_vs_S	4.88039335230249
0.837934396949666	0.300023422634025	2.79289659984912	0.00522383871268713	conditionAd-IL12:comparisonN_vs_Tumor	AdIL12	N_vs_Tumor	2.3115872203274
-1.26925877008789	0.459391541351319	-2.76291280060211	0.00572880691257987	conditionAd-empty:comparisonCD4_vs_S	Adempty	CD4_vs_S	0.281039859743278
0.83117191237288	0.302050117628725	2.75176821283196	0.00592744583965174	conditionAd-IL12:comparisonDC_vs_M	AdIL12	DC_vs_M	2.29600788428366
0.832503990219365	0.303094088229576	2.74668501481557	0.0060200920541944	conditionAd-IL12:comparisonCD8_vs_Endo	AdIL12	CD8_vs_Endo	2.29906838348071
0.820849471776182	0.299970325797079	2.73643557773599	0.00621087546389363	conditionAd-IL12:comparisonM_vs_N	AdIL12	M_vs_N	2.27242938249318
