,E3,E1,T2,T9,T4,T10,S,T1,DC4,DC3,CD8_3,DC2,M6,M13,M5,Mo8,M12,M2,M11,CD4_3,Mo3,M3,Mo4,M9,M8,NK2,N4,N5,N2,N3,T6,Mo2,Mo7,M1,M7,M4,Mo5,Mo6,B2,CD4_2,CD8_5,CD8_4,CD45_2,NKT,NK1,L,CD4_1,CD8_2,CD8_6,Treg2,CD8_1,B1,Treg1,CD4_4,CD45_1,N1,T3,T12,T5,T8,T11,DC1,M10,E2,Mo1,N7,N6,T7
E3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,5,0,0,1,0,6,1,0,0,0
E1,2,2230,1,7,88,130,6,2,3,13,19,4,22,5,0,3,1,344,218,0,69,61,37,1,100,5,1,28,13,0,397,356,2,4280,1388,4,14,33,1,1,2,0,7,55,410,103,284,127,72,84,19,30,1,1,362,225,6,1676,255,269,620,16,41,577,3710,438,787,252
T2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,3,7,0,0,1,1,0,0,1
T9,0,7,0,4,5,8,0,0,0,0,17,0,3,0,0,0,0,4,4,0,3,0,0,0,3,1,0,1,0,0,19,7,0,208,55,0,3,0,0,0,0,0,0,3,3,22,7,5,4,1,1,0,0,0,5,10,0,39,8,10,35,0,0,5,69,38,33,4
T4,0,88,0,5,648,53,2,7,1,0,22,1,52,0,0,0,0,141,407,0,3,0,0,0,1,2,0,0,10,0,580,23,0,5328,293,1,1,0,0,0,2,0,9,1,46,29,25,25,11,10,1,0,1,0,33,31,33,2393,892,88,1413,2,3,25,463,180,70,84
T10,0,130,0,8,53,1560,2,3,2,3,15,0,27,0,6,1,0,914,47,0,80,19,15,32,40,0,9,63,67,34,255,88,0,2291,733,1,4,0,1,1,0,0,2,20,85,62,89,32,20,19,6,10,0,0,182,1311,2,2964,140,253,1035,13,67,179,737,3349,6449,106
S,0,6,0,0,2,2,2,0,0,1,0,0,2,19,0,0,0,14,2,1,1,0,0,0,0,0,0,0,0,0,8,3,0,56,19,0,0,0,0,0,0,0,0,0,7,13,9,3,0,9,0,3,0,0,4,2,0,46,4,0,13,1,1,1,45,5,11,1
T1,0,2,0,0,7,3,0,2,0,0,0,0,0,0,0,0,0,22,25,0,1,0,0,0,2,0,0,0,1,0,2,1,0,79,25,0,1,0,0,0,1,0,1,0,1,26,2,2,1,0,0,0,0,0,4,0,0,97,34,5,12,2,0,3,20,5,2,20
DC4,0,3,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,0,0,2,0,0,3,0,0,0,1,0,9,12,0,0,0,0,0,0,0,0,1,2,0,6,1,1,1,0,2,0,0,3,0,0,6,0,3,1,0,0,10,16,7,10,1
DC3,0,13,0,0,0,3,1,0,0,4,0,0,1,0,0,0,0,20,5,0,1,2,3,0,1,0,0,2,0,0,5,8,0,87,26,0,0,0,0,0,0,0,1,2,10,0,9,1,0,5,1,0,0,0,4,1,0,73,11,6,19,3,5,12,39,8,14,6
