,E3,E1,T2,T9,T3,T10,S,L,T1,DC4,DC3,CD8_3,DC2,M6,M13,M5,Mo8,M12,M2,M11,CD4_3,Mo3,M3,Mo4,M9,M8,NK2,N4,N5,N2,N3,T6,Mo2,Mo7,M1,M4,Mo6,B2,CD4_2,NKT,NK1,CD8_5,CD8_4,CD45_2,CD4_1,CD8_2,CD4_4,B1,CD8_1,Treg1,CD8_6,Treg2,T4,N1,CD45_1,T12,T5,T8,T11,T7,E2,N7,N6,Mo1,DC1,M10,M7,Mo5
E3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,3,0,1,1,1,0,0,2,0,0,0,0
E1,0,1106,0,3,35,14,11,8,2,0,0,8,1,5,5,0,2,0,52,56,4,21,47,20,1,20,0,1,9,2,0,79,136,3,667,1,12,0,0,18,172,1,0,7,130,45,4,20,11,0,20,29,6,48,146,583,128,64,61,196,273,80,156,1527,37,8,584,28
T2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,2,4,2,0,0,1,0,8,0,0,13,1
T9,0,3,0,4,2,0,0,1,0,0,0,3,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,1,0,2,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,11,1,3,6,1,1,5,4,18,1,0,17,2
T3,0,35,0,2,420,12,19,5,1,0,1,5,0,6,2,0,0,0,4,99,0,2,0,1,0,0,0,0,0,3,0,296,7,0,1008,0,0,1,0,1,11,3,0,6,12,5,1,2,3,0,1,2,24,4,10,1445,391,24,510,15,2,35,9,150,0,2,52,0
T10,0,14,0,0,12,44,6,6,0,0,0,1,0,7,4,0,1,0,9,7,2,37,7,2,0,5,0,2,19,7,0,55,39,0,304,1,1,0,0,10,57,1,0,3,17,13,0,3,1,0,5,8,2,105,30,217,18,34,65,44,30,312,340,232,2,4,236,2
S,0,11,0,0,19,6,148,0,0,0,1,0,0,8,125,0,0,0,1,12,0,1,1,0,1,1,0,0,1,5,0,23,5,0,350,0,0,0,0,1,8,0,0,1,2,3,0,3,0,0,0,4,0,4,3,316,21,17,64,8,0,54,11,57,0,0,49,0
L,0,8,6,1,5,6,0,6950,6,0,0,0,0,0,0,0,0,5,33,37,0,0,58,6,0,13,0,0,0,0,0,0,2,4,40,0,0,0,0,0,3,0,0,6,7,8,0,0,2,0,3,4,0,8,32,87,1,19,3,106,29,3,3,43,11,33,223,0
T1,0,2,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,1,0,3,0,1,0,0,0,1,0,0,0,10,3,4,0,13,8,2,5,17,2,0,19,0
DC4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,2,0,3,3,5,0,0,2,0
DC3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,4,1,0,18,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,3,23,4,1,4,1,0,0,0,8,0,0,4,0
CD8_3,0,8,0,3,5,1,0,0,0,0,0,20,0,0,0,0,0,0,0,5,0,1,1,1,0,1,0,1,2,1,0,17,6,0,116,0,0,0,0,1,7,0,0,0,4,0,0,0,0,0,0,0,0,4,1,36,8,3,22,9,3,10,10,66,1,0,23,1
DC2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,1,0,0,0,3,0,1,0,1,0,1,0,0,1,9,0,0,0,2,2,2,3,14,0,1,3,0
M6,0,5,0,0,6,7,8,0,0,0,1,0,0,90,4,0,0,0,4,13,0,3,2,5,0,4,0,2,0,3,0,103,11,1,424,1,0,0,0,0,10,0,0,2,7,1,0,0,1,0,0,1,0,13,8,217,10,78,66,18,2,65,54,166,1,1,185,2
M13,0,5,0,0,2,4,125,0,0,0,0,0,0,4,372,0,0,0,2,0,1,3,0,0,2,0,0,0,1,2,0,11,1,0,511,0,0,0,0,0,3,0,0,2,0,1,0,2,0,0,0,0,0,1,2,61,6,4,13,2,2,60,5,56,0,0,38,2
M5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,4,0
Mo8,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,3,0,0,7,2,0,1,0,0,0,0,0,1,1,0,8,0,0,0,0,1,3,1,0,0,5,1,0,1,0,0,0,2,0,0,5,12,0,4,0,23,6,1,2,17,5,0,36,0
M12,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,3,0,0,0,4,0,1,1,7,1,0,7,0
M2,0,52,0,1,4,9,1,33,3,0,1,0,1,4,2,0,4,2,88,38,3,9,37,6,1,26,0,0,9,3,0,36,45,2,447,1,3,1,0,8,55,6,0,13,59,36,0,26,8,0,10,12,1,13,83,287,33,72,38,181,65,43,92,368,27,15,476,11
