,E3,E1,T2,T9,T4,S,T10,T1,DC4,DC3,CD8_3,DC2,M6,M13,M5,Mo8,M12,M2,M11,CD4_3,Mo3,M3,Mo4,M9,M8,NK2,N4,N5,N2,N3,T6,Mo2,Mo7,M1,M7,M4,Mo5,Mo6,B2,CD4_2,NKT,NK1,CD8_5,CD8_4,CD45_2,CD8_6,CD8_2,Treg2,CD4_1,CD8_1,N1,B1,Treg1,CD4_4,CD45_1,T3,T8,T5,T11,L,T12,T7,E2,DC1,M10,Mo1,N7,N6
E3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,9,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,2,1,0,1,1,5,0,0,35,1,0
E1,4,2430,1,4,3,1,31,7,1,2,15,2,27,0,0,0,4,157,318,2,78,21,21,2,68,3,3,16,24,0,181,359,12,2090,1294,6,44,9,3,2,92,449,88,8,127,86,209,136,427,41,218,90,59,88,261,7,117,53,97,61,652,434,285,16,15,6412,532,649
T2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,10,0,1,0,0,0,0,1,2,0,0,0,2,0,1,2,0,2,0,0,1,0,0,0,0,0,3,3,2,0,0,12,1,2
T9,0,4,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,1,4,0,3,0,0,0,0,1,0,0,2,0,4,1,0,63,27,1,1,0,0,0,1,12,2,0,0,0,0,1,2,0,0,0,0,0,2,0,3,0,0,28,8,0,1,1,0,82,12,9
T4,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,1,1,0,0,1,0,0,0,0,0,4,1,0,41,22,0,1,0,0,0,4,5,2,0,3,1,3,0,8,0,0,2,0,2,0,0,1,2,2,63,4,2,0,0,0,59,4,3
S,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,10,14,0,0,0,0,0,0,3,2,0,0,1,1,0,6,1,1,5,1,1,3,0,2,0,0,0,0,0,2,0,0,28,10,6
T10,0,31,0,0,0,1,22,0,0,0,2,0,3,0,0,0,0,12,13,0,80,0,0,0,4,0,1,3,7,1,9,29,0,333,141,1,7,0,0,0,14,38,2,0,4,18,16,10,25,5,69,6,5,2,16,0,24,3,18,2,45,16,9,2,0,442,263,273
T1,0,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,14,0,0,1,1,0,1,1,0,0,0,0,3,2,0,41,31,1,1,0,0,0,2,5,5,0,2,1,3,1,5,1,3,2,1,2,2,0,0,3,0,69,9,18,3,0,1,48,6,8
DC4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,17,1,5
DC3,0,2,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,24,22,0,0,0,0,0,1,5,0,0,0,2,3,0,1,0,1,0,0,2,1,0,0,0,0,0,9,1,0,0,1,34,0,2
CD8_3,0,15,1,11,0,0,2,1,0,0,158,0,1,0,0,0,1,4,22,0,7,0,0,2,2,11,0,1,5,0,31,18,1,337,100,0,3,1,0,0,1,35,4,1,4,7,14,3,32,3,11,1,1,8,18,1,7,4,15,76,40,23,1,0,0,458,37,33
DC2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,24,5,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,2,0,0,1,0,0,2,0,0,2,1,0,0,0,0,16,4,7
M6,0,27,0,2,0,0,3,1,0,1,1,0,40,0,0,0,0,7,34,0,7,3,0,0,8,0,0,1,0,0,82,23,0,835,329,2,5,0,0,0,9,31,9,1,17,2,14,8,30,5,12,8,2,3,16,0,37,3,26,2,71,35,4,0,2,500,71,45
M13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0
M5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,1,1,0,1,1,0,0,2,1,0,1,0,0,0,0,3,1,0,4,0,0,0,0,0,4,0,1
Mo8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,3,8,1,0,0,1,11,0,0
M12,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,9,0,2,0,1,0,5,0,0,0,0,0,2,4,0,46,115,0,0,0,0,0,0,3,4,0,0,3,2,2,8,0,3,2,2,1,6,0,7,2,0,3,13,20,3,0,0,63,2,4
M2,0,157,0,1,1,0,12,0,2,1,4,1,7,1,0,1,4,148,135,0,22,10,5,0,27,0,0,5,9,0,83,77,4,1294,885,3,17,1,0,0,25,135,33,3,50,27,77,35,105,5,57,31,9,32,89,2,94,19,37,204,273,249,34,2,6,1515,160,189
M11,1,318,3,4,9,0,13,14,1,1,22,0,34,0,3,0,9,135,716,0,26,9,19,2,51,2,0,4,15,0,275,168,6,3185,1594,3,34,0,3,1,71,258,173,16,234,59,136,113,299,39,52,80,67,142,193,13,143,108,90,864,475,465,86,12,10,4820,162,154
CD4_3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,4,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,3
Mo3,0,78,0,3,1,1,80,0,0,0,7,0,7,0,0,0,2,22,26,0,546,0,2,4,25,1,5,23,53,0,40,55,1,1069,453,4,6,0,0,0,29,118,11,2,20,37,48,49,98,6,278,18,13,6,87,1,74,5,40,0,112,62,40,4,2,1801,1516,927
M3,0,21,0,0,1,0,0,1,0,2,0,1,3,0,0,0,0,10,9,0,0,8,4,0,7,1,0,2,0,0,10,6,0,60,170,0,2,0,2,0,3,23,5,1,5,1,10,2,15,1,3,0,2,2,9,0,9,2,6,49,56,22,7,0,3,78,4,22
Mo4,1,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,19,1,2,4,18,0,3,4,0,0,0,0,8,38,0,100,163,0,9,0,0,0,8,28,8,0,10,2,9,7,27,1,7,4,4,8,19,1,9,6,9,14,52,18,4,3,2,241,8,28
M9,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,1,1,2,0,3,0,0,42,7,0,0,0,0,0,0,5,0,0,1,0,3,1,4,1,5,0,0,1,2,0,2,0,2,0,6,0,1,0,0,45,28,11
M8,0,68,1,0,1,1,4,1,1,0,2,1,8,0,1,0,5,27,51,0,25,7,3,0,82,0,0,12,7,0,20,56,1,393,884,0,11,0,4,1,18,109,13,1,24,36,25,42,81,6,43,46,17,13,86,1,118,16,24,21,101,84,16,1,1,709,105,178
NK2,0,3,0,1,0,0,0,1,0,0,11,0,0,0,0,0,0,0,2,0,1,1,4,0,0,4,0,0,0,0,1,4,0,21,16,0,0,0,0,0,1,9,3,0,3,0,5,0,3,0,1,0,1,1,6,1,1,4,1,16,13,7,0,1,0,70,5,6
N4,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,2,2,0,44,30,1,0,0,0,0,0,2,0,0,1,1,1,0,4,0,4,0,0,1,1,0,4,0,2,0,1,2,0,0,0,37,17,8
N5,0,16,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,5,4,0,23,2,0,1,12,0,0,28,1,0,5,27,0,146,264,0,6,3,0,0,5,31,2,0,2,3,7,3,19,1,24,2,3,0,20,0,31,0,6,0,22,18,4,0,1,207,109,137
N2,0,24,0,2,0,0,7,0,0,0,5,0,0,0,0,0,0,9,15,0,53,0,0,2,7,0,0,1,32,0,38,13,0,488,133,2,1,0,0,1,7,20,0,0,7,8,17,6,24,0,95,3,3,3,26,0,21,2,12,0,35,13,7,0,1,500,183,79
N3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
T6,1,181,0,4,4,0,9,3,0,0,31,2,82,0,0,1,2,83,275,0,40,10,8,3,20,1,2,5,38,0,1286,119,1,6803,741,8,5,2,0,0,28,165,63,8,79,32,84,39,226,20,100,51,41,51,95,14,97,40,226,299,471,299,59,11,10,3497,420,246
Mo2,1,359,0,1,1,2,29,2,0,0,18,0,23,0,0,0,4,77,168,1,55,6,38,0,56,4,2,27,13,0,119,632,3,1560,1262,6,58,5,2,1,44,365,62,10,78,63,127,78,309,33,212,73,32,60,197,6,149,46,99,6,454,177,136,8,13,4249,404,747
Mo7,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,6,0,1,0,0,0,1,0,0,0,0,0,1,3,0,25,67,0,4,0,0,0,2,2,0,0,3,2,1,0,2,1,3,0,0,0,2,0,3,0,2,2,14,8,1,0,2,76,2,4
M1,9,2090,5,63,41,10,333,41,11,24,337,24,835,3,2,8,46,1294,3185,0,1069,60,100,42,393,21,44,146,488,0,6803,1560,25,80154,16166,159,217,11,11,1,530,2792,844,87,1163,725,1151,790,2874,271,1671,465,581,730,1777,91,1855,463,1854,834,5116,3573,583,88,90,49205,6771,4733
