,E3,E1,T2,T9,T4,S,T10,T1,DC4,DC3,CD8_3,DC2,M6,M13,M5,Mo8,M12,M2,M11,CD4_3,Mo3,M3,Mo4,M9,M8,NK2,N4,N5,N2,N3,T6,Mo2,Mo7,M1,M4,Mo6,B2,CD4_2,NKT,NK1,CD8_5,CD8_4,CD45_2,CD4_1,CD8_1,CD8_6,Treg2,CD8_2,Treg1,B1,T3,CD4_4,CD45_1,N1,L,T5,T12,T8,T11,M7,E2,Mo1,DC1,M10,Mo5,N7,N6,T7
E3,8,20,1,1,3,0,0,0,0,1,4,0,1,0,2,0,2,26,52,0,0,4,1,0,2,0,0,0,0,0,1,0,0,39,0,0,0,0,1,2,0,0,5,3,1,0,4,6,3,3,0,3,6,0,0,69,71,22,8,52,85,17,0,6,0,0,11,6
E1,20,4764,33,14,297,32,109,10,0,17,22,9,51,16,6,8,26,656,1794,21,29,197,123,1,98,1,1,24,12,0,370,353,2,3775,2,52,6,3,21,243,57,13,170,277,49,24,128,195,95,251,17,32,316,141,103,1946,3371,1010,809,2920,1213,2546,82,84,29,154,351,293
T2,1,33,22,1,26,0,9,0,0,1,1,2,1,0,4,1,20,87,187,0,1,11,4,0,24,0,0,1,0,0,1,11,1,178,0,0,0,0,0,4,4,0,6,10,6,3,17,5,4,8,0,2,23,4,1,332,338,380,63,541,60,54,8,10,2,4,13,25
T9,1,14,1,16,8,2,5,0,0,1,22,0,2,0,0,0,2,29,33,0,0,6,1,0,5,0,0,2,1,0,8,4,0,155,0,0,1,0,0,3,1,0,1,2,0,0,1,2,1,12,1,0,8,1,8,43,136,22,54,70,7,22,2,4,0,4,8,7
T4,3,297,26,8,740,7,94,5,0,2,14,2,48,2,11,1,25,610,2176,0,5,9,2,0,13,0,2,7,12,0,384,21,0,5335,3,0,1,0,1,37,20,0,79,30,6,9,26,27,18,29,65,4,65,31,68,2856,3191,672,1456,1501,115,407,19,12,2,230,106,107
S,0,32,0,2,7,28,4,0,0,0,1,0,1,12,0,0,1,17,45,5,1,8,10,0,15,0,0,6,0,0,4,26,0,161,0,0,1,0,2,18,1,1,6,31,8,2,7,16,7,149,0,0,32,9,21,50,84,51,15,142,19,80,0,5,0,15,25,11
T10,0,109,9,5,94,4,1066,1,1,1,3,3,13,1,11,2,3,446,434,1,23,30,16,11,17,1,2,54,14,4,101,66,0,1482,0,4,1,0,3,49,8,0,31,42,3,6,10,31,10,34,7,0,73,413,21,794,2049,408,661,751,182,256,16,18,6,906,1820,78
T1,0,10,0,0,5,0,1,2,0,0,0,0,0,0,0,2,2,59,104,2,0,2,5,0,2,0,0,0,1,0,11,10,0,179,0,0,1,0,0,5,3,0,13,23,0,1,7,2,6,55,1,2,36,1,11,59,133,27,13,121,18,80,5,3,0,7,11,38
DC4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6,1,0,2,2,0,1,0,0,0,0,0,0,7,0,25,0,0,0,0,0,2,1,0,2,11,1,0,4,1,1,11,0,0,12,0,1,3,13,7,0,24,2,25,0,1,0,1,1,6
DC3,1,17,1,1,2,0,1,0,0,14,0,0,1,0,0,2,2,25,39,0,0,5,12,0,7,2,0,1,0,0,1,11,1,67,0,3,0,1,1,11,2,0,4,8,6,2,14,4,3,1,0,1,15,5,0,42,114,35,20,93,27,46,7,5,2,2,30,11
CD8_3,4,22,1,22,14,1,3,0,0,0,50,1,3,0,0,0,2,59,110,0,0,5,6,1,8,5,0,1,3,0,19,6,0,366,1,1,0,0,0,11,3,0,10,8,2,1,5,8,1,7,1,0,18,8,27,80,143,21,56,124,17,91,4,6,1,15,12,10
DC2,0,9,2,0,2,0,3,0,0,0,1,2,0,0,0,0,0,7,26,1,0,2,1,0,10,0,0,0,0,0,1,4,0,43,0,0,1,0,2,4,1,0,4,7,0,1,1,5,2,5,1,0,17,0,4,26,34,15,20,73,5,17,5,2,0,1,4,10
M6,1,51,1,2,48,1,13,0,0,1,3,0,50,0,1,0,3,53,131,1,0,0,0,1,1,0,1,2,6,0,80,3,0,826,0,0,0,0,0,8,4,0,6,7,1,1,3,2,1,1,1,0,4,11,0,243,266,139,206,244,9,84,0,0,0,45,14,6
M13,0,16,0,0,2,12,1,0,0,0,0,0,0,20,0,0,1,1,7,2,2,3,7,0,1,0,0,2,0,0,5,9,0,48,0,0,0,0,0,4,0,0,0,4,1,0,1,6,1,8,0,0,13,9,2,2,15,11,2,65,13,24,0,1,0,8,19,5
M5,2,6,4,0,11,0,11,0,0,0,0,0,1,0,62,0,0,342,178,0,0,7,1,0,2,0,0,1,0,0,0,3,0,97,0,1,0,0,0,4,0,0,20,7,0,2,2,3,1,0,0,0,5,2,5,299,645,119,105,161,36,6,5,7,0,6,22,44
Mo8,0,8,1,0,1,0,2,2,0,2,0,0,0,0,0,0,0,10,17,1,0,9,9,0,3,1,0,0,0,0,0,10,0,16,0,0,0,1,0,0,0,0,4,5,0,1,0,5,2,10,0,0,21,2,14,15,58,18,2,57,13,31,2,4,0,1,7,21
M12,2,26,20,2,25,1,3,2,0,2,2,0,3,1,0,0,18,68,174,0,0,8,9,0,8,2,0,4,1,0,8,12,0,187,0,0,1,1,1,11,5,0,20,20,1,0,12,4,10,23,1,2,30,4,12,206,259,205,61,439,41,71,11,6,5,6,12,39
