,E3,E1,T2,T9,T4,T10,S,L,T1,DC4,DC3,CD8_3,DC2,M6,M13,M5,Mo8,M12,M2,M11,CD4_3,Mo3,M3,Mo4,M9,M8,NK2,N4,N5,N2,N3,T6,Mo2,Mo7,M1,M4,Mo6,B2,CD4_2,NKT,NK1,CD8_5,CD8_4,CD45_2,B1,CD4_1,Treg2,CD8_2,CD4_4,CD8_1,CD8_6,N1,Treg1,T3,CD45_1,T5,T12,T7,T11,T8,E2,DC1,M10,Mo1,N7,Mo5,M7,N6
E3,2,3,0,0,0,0,0,9,1,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,9,0,0,0,0,0,7,0,0,4,0,1,1,0,0,1,0,1,0,0,8,3,5,6,2,1,21,0,1,23,1,0,5,3
E1,3,1220,1,1,30,10,2,68,2,0,4,7,0,5,0,1,6,2,48,179,0,11,127,75,0,27,1,0,7,7,0,134,179,1,945,1,7,0,0,20,288,35,6,77,18,141,53,37,40,11,25,47,19,5,136,158,535,81,102,110,191,14,27,2613,106,81,614,136
T2,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,3,0,0,4,0,0,1,0,0,0,0,0,1,1,0,4,0,0,0,0,0,7,0,0,2,0,1,1,1,0,0,0,2,1,0,2,3,14,3,1,14,2,0,0,8,1,0,26,7
T9,0,1,0,14,1,1,1,3,0,0,0,15,0,2,0,0,0,0,3,6,0,6,0,0,0,1,0,0,0,1,0,12,1,0,129,0,0,0,0,1,7,0,0,2,0,5,1,1,0,0,0,2,0,0,2,1,16,1,32,6,1,0,0,34,15,0,17,5
T4,0,30,0,1,434,52,3,13,1,0,2,1,0,17,0,0,0,0,18,236,0,4,0,1,2,3,0,1,0,8,0,242,2,0,1405,0,0,0,0,0,28,11,0,16,0,10,3,3,4,1,1,35,2,20,17,1025,1457,10,707,48,4,0,1,213,101,1,43,29
T10,0,10,0,1,52,400,1,0,0,0,1,2,0,5,1,2,0,0,38,36,0,17,10,13,3,8,0,9,27,43,1,110,25,0,630,0,1,0,0,3,43,0,0,5,0,29,8,5,3,4,4,332,4,0,19,139,697,15,340,94,22,2,7,207,785,4,201,1086
S,0,2,0,1,3,1,2,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,2,0,3,1,0,30,0,0,0,0,0,3,0,0,1,0,3,0,0,0,0,1,2,0,0,1,1,6,0,5,0,0,0,1,17,0,0,5,5
L,9,68,2,3,13,0,0,16136,45,0,5,0,22,4,0,0,43,4,80,804,0,1,129,31,0,8,7,0,0,1,0,35,32,1,401,1,0,0,1,13,80,67,4,431,35,10,1,43,17,15,34,0,0,0,47,103,253,101,7,76,71,173,108,642,1,28,469,4
T1,1,2,0,0,1,0,0,45,0,0,1,0,1,0,0,0,0,1,4,9,0,1,0,1,0,0,0,0,1,0,0,6,1,0,19,0,0,0,0,0,3,1,0,5,0,0,0,0,0,0,0,2,1,0,4,6,19,11,1,0,7,2,1,15,1,0,6,2
DC4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,5,0,0,3,0
DC3,0,4,0,0,2,1,0,5,1,0,6,0,0,1,0,0,0,0,3,2,0,0,4,1,0,0,0,0,0,1,0,4,2,0,33,0,0,0,0,0,4,0,0,1,0,4,3,0,1,0,1,2,1,0,5,9,35,4,10,5,3,1,1,19,2,2,14,11
CD8_3,0,7,0,15,1,2,1,0,0,0,0,24,0,0,0,0,0,0,1,3,0,4,0,1,0,1,2,0,0,0,0,9,4,0,156,0,0,0,0,1,15,1,0,3,0,2,2,2,0,0,1,5,0,0,4,4,11,4,28,7,5,1,0,75,13,0,22,15
