,E3,E1,T2,T9,T4,T10,S,L,T1,DC4,DC3,CD8_3,DC2,M6,M13,Mo8,M12,M2,M11,CD4_3,Mo3,M3,Mo4,M9,M8,N4,N5,N2,T6,Mo2,Mo7,M1,M7,M4,Mo5,Mo6,B2,CD4_2,NKT,NK1,CD8_5,CD8_4,CD45_2,CD8_2,CD4_1,CD8_1,Treg1,Treg2,N1,B1,CD8_6,CD4_4,T3,CD45_1,T12,T5,T8,T11,E2,DC1,M10,Mo1,N7,N6,T7
E3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,2,0,0,10,0,0,1
E1,4,3006,1,2,9,25,26,7,4,1,4,8,0,10,14,5,0,74,118,1,43,57,73,1,37,0,10,17,93,390,8,1622,811,13,81,2,0,0,46,531,22,2,28,58,119,11,14,52,117,28,21,7,5,153,701,69,189,234,477,29,45,3891,192,342,218
T2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,14,0,0,1,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4,2,6,0,0,0,0,4,0,0,2
T9,0,2,0,2,0,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,17,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,2,0,0,0,0,2,12,1,4,2,0,1,0,19,3,6,0
T4,0,9,0,0,40,7,0,0,1,0,0,1,0,0,0,0,0,2,30,0,5,0,0,0,1,0,1,0,35,3,0,173,25,0,3,0,0,0,1,21,1,0,5,2,3,0,0,1,4,1,0,0,0,4,200,79,9,69,1,0,1,110,23,5,7
T10,0,25,0,4,7,166,9,11,0,1,0,0,0,2,3,0,0,12,14,1,42,5,12,1,16,0,14,37,64,38,0,511,197,1,8,0,0,0,7,79,1,1,0,10,11,3,2,4,156,3,3,0,1,16,206,26,46,176,14,0,4,279,558,409,22
S,0,26,0,1,0,9,40,65,1,0,0,0,0,0,11,0,0,5,1,0,5,0,5,0,4,0,1,1,13,18,1,78,72,1,7,0,0,0,2,49,2,0,3,4,6,0,1,2,7,3,2,0,0,16,51,6,14,12,8,0,1,108,37,25,7
L,0,7,0,0,0,11,65,6720,12,0,0,0,4,0,2,11,0,52,73,0,1,42,7,0,8,0,2,0,35,6,0,182,194,0,1,0,0,0,0,6,1,0,17,8,6,0,0,0,11,13,3,0,0,14,71,3,27,5,19,14,18,54,12,14,70
T1,0,4,1,0,1,0,1,12,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,6,10,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,7,2,1,1,1,0,0,13,0,3,5
DC4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,1
