,T11,E3,E1,T2,T9,T4,T10,S,L,T1,DC4,DC3,CD8_3,DC2,M6,M13,M5,Mo8,M12,M2,M11,CD4_3,Mo3,M3,Mo4,M9,M8,NK2,N4,N5,N2,T6,Mo2,Mo7,M1,M7,M4,Mo5,Mo6,B2,CD4_2,NKT,NK1,CD8_5,CD8_4,CD45_2,B1,CD4_1,CD8_2,Treg2,Treg1,CD8_1,N1,CD4_4,CD8_6,T3,CD45_1,T12,T8,T5,E2,DC1,M10,Mo1,N7,N6,T7
T11,1278,3,171,2,6,191,205,59,70,10,0,16,10,5,14,23,20,2,7,1479,1807,0,17,77,21,5,26,1,0,7,13,81,73,2,4720,1452,0,4,5,0,0,21,98,26,1,50,18,138,75,78,20,21,97,2,11,6,112,4124,400,1159,260,36,72,840,213,308,262
E3,3,10,5,0,0,0,2,0,22,0,0,0,0,0,0,2,0,0,1,15,37,0,0,2,1,0,1,0,0,0,0,3,5,0,41,38,0,0,0,0,1,0,7,1,0,2,2,5,1,2,0,0,3,0,0,0,1,39,3,18,65,1,3,14,3,1,6
E1,171,5,1670,2,4,45,33,29,64,3,0,8,3,3,6,72,1,3,3,446,613,2,10,276,101,1,46,1,0,25,3,180,239,2,1970,1257,0,8,93,0,1,35,176,37,2,21,16,155,58,135,17,20,100,11,15,1,126,1131,230,361,756,24,67,1164,101,311,142
T2,2,0,2,0,0,2,0,4,40,0,0,0,0,0,1,2,0,1,2,21,33,0,0,1,2,0,1,0,0,0,0,0,0,0,36,69,0,0,0,0,0,0,5,0,1,2,0,3,0,7,0,0,2,1,2,0,1,37,14,32,15,2,2,12,1,0,4
T9,6,0,4,0,10,2,3,1,12,0,0,0,6,0,0,3,0,0,0,10,15,0,0,3,0,0,0,1,0,0,0,1,0,1,36,21,0,0,1,0,0,0,1,0,0,1,0,2,0,1,0,0,1,0,0,0,1,28,0,2,7,1,1,2,1,4,4
T4,191,0,45,2,2,90,29,20,3,3,0,0,0,1,1,19,2,0,2,423,729,0,2,9,0,2,3,0,0,1,3,27,9,0,1429,297,0,1,1,0,0,1,26,7,0,12,1,23,18,24,3,2,8,2,0,6,28,850,62,566,53,8,19,218,34,36,90
T10,205,2,33,0,3,29,548,40,93,1,0,2,0,1,1,15,10,0,2,466,311,0,43,87,37,11,17,0,0,62,5,8,48,0,602,653,0,0,8,0,0,3,61,1,0,9,3,42,8,8,2,7,229,0,5,0,56,1027,123,243,166,13,53,151,361,1096,91
S,59,0,29,4,1,20,40,394,46,0,0,3,2,0,0,620,1,1,5,230,363,1,0,2,2,0,1,0,0,5,1,4,6,0,405,193,0,0,0,0,0,4,28,5,0,7,5,12,10,13,4,2,11,0,4,2,15,655,43,209,50,4,14,85,34,73,64
L,70,22,64,40,12,3,93,46,50110,60,0,5,22,12,0,0,3,43,57,232,719,0,3,634,90,0,70,11,0,24,0,5,47,3,265,2298,0,0,16,0,5,4,43,29,0,273,55,39,37,44,4,1,24,12,9,0,115,962,340,131,396,501,464,173,17,83,208
T1,10,0,3,0,0,3,1,0,60,4,0,1,0,0,1,0,0,1,0,55,117,0,0,6,0,0,2,0,0,0,0,4,2,0,108,63,0,1,0,0,0,2,2,1,0,5,2,7,5,2,0,2,1,0,1,1,7,105,13,51,20,5,9,25,3,4,28
DC4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,1,1,0,1,0,0,0,0,0,1,0,5,11,0,1,0,0,0,0,3,0,1,0,0,2,3,0,0,1,1,0,1,0,1,4,3,0,0,0,2,6,3,3,2
DC3,16,0,8,0,0,0,2,3,5,1,0,16,0,0,0,5,0,0,0,16,26,0,2,30,10,0,6,0,0,3,0,1,20,1,95,94,0,0,0,1,0,5,22,0,1,0,5,29,2,16,0,2,15,1,3,0,10,85,21,22,41,6,16,59,9,49,9
CD8_3,10,0,3,0,6,0,0,2,22,0,0,0,12,1,0,0,0,0,0,13,17,0,0,6,2,0,0,2,0,0,0,1,3,0,72,28,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,5,30,9,12,3,0,0,13,5,8,1
DC2,5,0,3,0,0,1,1,0,12,0,0,0,1,2,0,3,0,0,0,20,17,0,0,4,0,0,0,0,0,1,0,0,1,0,52,42,0,0,0,0,0,1,2,1,0,0,0,5,1,3,0,1,0,0,1,0,11,32,6,15,6,3,1,15,1,7,4
M6,14,0,6,1,0,1,1,0,0,1,0,0,0,0,0,3,0,0,0,9,7,0,0,2,0,0,0,0,0,0,0,5,0,0,77,37,0,0,0,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,0,1,33,8,13,5,0,2,30,1,1,6
M13,23,2,72,2,3,19,15,620,0,0,0,5,0,3,3,1988,0,0,0,181,292,7,2,1,3,0,2,0,0,5,2,21,5,0,566,229,0,0,0,0,0,12,76,19,0,3,7,23,22,8,14,0,20,0,11,3,58,150,13,131,49,4,8,172,40,43,13
M5,20,0,1,0,0,2,10,1,3,0,0,0,0,0,0,0,2,0,0,58,42,0,0,6,1,0,1,0,0,1,0,1,2,0,37,70,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,2,0,0,0,1,96,25,29,7,0,2,4,1,10,5
Mo8,2,0,3,1,0,0,0,1,43,1,0,0,0,0,0,0,0,2,0,11,5,0,0,28,3,0,4,0,0,2,0,0,3,0,4,49,0,0,1,0,0,0,5,0,0,1,2,6,0,2,0,1,4,1,0,0,5,40,12,1,19,2,12,10,2,7,11
M12,7,1,3,2,0,2,2,5,57,0,1,0,0,0,0,0,0,0,10,48,71,0,0,8,1,0,7,0,0,1,0,0,5,0,56,98,0,0,0,0,1,1,4,1,0,3,1,8,3,5,0,0,1,0,0,0,1,126,26,42,22,4,3,11,3,3,8
M2,1479,15,446,21,10,423,466,230,232,55,2,16,13,20,9,181,58,11,48,8502,7865,2,42,345,87,5,133,0,1,27,4,155,176,7,9972,4432,1,6,7,1,1,47,288,82,5,180,38,428,215,258,60,40,255,31,30,6,452,11194,948,4308,1222,103,409,1747,444,1012,1609
M11,1807,37,613,33,15,729,311,363,719,117,2,26,17,17,7,292,42,5,71,7865,13370,5,44,221,52,8,75,5,2,16,12,294,160,2,15349,4753,0,3,5,2,0,42,298,131,8,379,31,451,295,281,78,35,133,34,38,20,424,12585,978,7135,1510,139,338,2602,487,483,1783
CD4_3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,2,5,4,0,3,0,0,0,0,0,0,0,0,1,0,11,21,0,0,0,0,0,4,6,1,1,0,5,17,0,6,1,1,5,0,1,0,2,5,2,1,10,1,7,18,1,12,1
Mo3,17,0,10,0,0,2,43,0,3,0,1,2,0,0,0,2,0,0,0,42,44,0,36,9,15,1,15,0,0,22,1,0,20,1,134,116,0,0,1,0,0,12,22,1,0,1,5,29,15,21,2,4,48,0,2,1,18,68,24,29,35,4,8,98,86,158,12
M3,77,2,276,1,3,9,87,2,634,6,1,30,6,4,2,1,6,28,8,345,221,3,9,1850,319,0,196,2,0,75,3,6,401,20,389,4084,0,7,96,1,4,51,259,2,0,19,43,248,72,120,9,18,200,2,27,0,197,1851,879,151,623,143,415,463,46,691,326
Mo4,21,1,101,2,0,0,37,2,90,0,1,10,2,0,0,3,1,3,1,87,52,0,15,319,270,0,65,0,0,46,1,2,225,6,153,1034,0,3,19,0,3,25,129,2,1,4,17,116,26,77,1,18,133,1,16,0,64,458,195,24,229,31,117,257,43,395,90
M9,5,0,1,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,1,0,0,0,0,0,0,0,0,0,1,0,40,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,18,0,11,1,0,0,12,12,9,2
M8,26,1,46,1,0,3,17,1,70,2,1,6,0,0,0,2,1,4,7,133,75,0,15,196,65,0,256,0,0,25,1,10,141,8,346,1755,0,9,20,5,5,57,182,3,1,9,51,227,43,123,16,48,68,5,22,0,182,298,285,44,191,27,81,450,33,199,84
NK2,1,0,1,0,1,0,0,0,11,0,0,0,2,0,0,0,0,0,0,0,5,0,0,2,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4,0,1,1
N4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0
N5,7,0,25,0,0,1,62,5,24,0,0,3,0,1,0,5,1,2,1,27,16,0,22,75,46,0,25,0,0,64,1,1,73,0,54,667,0,0,10,0,0,3,30,0,0,0,2,32,11,12,1,8,109,0,0,0,26,138,126,16,78,8,23,61,57,385,19
N2,13,0,3,0,0,3,5,1,0,0,0,0,0,0,0,2,0,0,0,4,12,0,1,3,1,0,1,0,0,1,8,3,3,0,84,14,0,0,0,0,0,0,4,0,0,1,0,4,1,3,0,0,11,0,1,0,2,18,0,7,7,0,0,45,11,10,5
T6,81,3,180,0,1,27,8,4,5,4,0,1,1,0,5,21,1,0,0,155,294,0,0,6,2,0,10,0,0,1,3,138,18,0,1492,125,0,0,0,0,0,4,34,20,1,2,1,45,14,18,10,3,11,2,4,3,27,312,23,143,76,2,5,465,38,42,53
Mo2,73,5,239,0,0,9,48,6,47,2,1,20,3,1,0,5,2,3,5,176,160,1,20,401,225,1,141,0,0,73,3,18,572,12,654,2047,1,16,84,1,2,54,264,13,1,16,50,295,78,147,13,41,191,1,28,2,191,706,364,86,520,49,155,809,73,649,98
