,E3,E1,T2,T9,T4,S,T10,L,T1,DC4,DC3,CD8_3,DC2,M6,M13,M5,Mo8,M12,M2,M11,CD4_3,Mo3,M3,Mo4,M9,M8,NK2,N4,N5,N2,N3,T6,Mo2,Mo7,M1,M7,M4,Mo5,Mo6,B2,CD4_2,NKT,NK1,CD8_5,CD8_4,CD45_2,B1,CD4_1,CD8_2,Treg1,Treg2,CD8_1,CD8_6,N1,CD4_4,T3,CD45_1,T12,T5,T8,T11,E2,DC1,M10,Mo1,N7,N6,T7
E3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,4,0,0,0
E1,0,1978,2,0,3,14,46,143,3,0,5,16,3,23,23,0,6,1,108,108,0,134,386,82,1,52,2,0,45,31,0,126,295,3,1864,1605,2,53,27,0,0,46,357,13,0,36,13,215,67,20,88,17,29,228,20,2,241,728,39,241,108,489,21,69,3300,478,734,165
T2,0,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,4,1,0,1
T9,0,0,0,4,0,0,1,11,0,0,1,2,0,0,0,0,0,0,0,1,0,9,6,1,0,0,0,0,4,0,0,1,5,0,30,37,0,2,0,0,0,2,9,0,0,0,0,2,1,0,2,0,0,6,0,0,1,5,1,15,3,4,1,0,46,9,11,3
T4,0,3,0,0,20,0,0,23,1,0,0,0,1,2,0,0,0,0,6,29,0,2,0,1,0,0,0,0,0,3,0,62,1,0,499,13,0,0,0,0,0,0,4,2,0,1,0,1,1,0,0,0,0,0,0,4,1,96,25,5,41,0,0,1,71,18,10,1
S,0,14,0,0,0,60,1,227,0,0,1,0,0,1,17,0,0,0,0,2,1,7,0,0,0,0,0,0,1,1,0,5,3,0,50,17,0,0,0,0,0,1,5,0,0,0,0,0,0,0,3,1,0,9,0,0,6,9,3,3,2,3,0,0,59,22,16,0
T10,2,46,0,1,0,1,100,108,0,1,0,0,1,1,1,0,0,0,26,9,0,78,42,19,0,20,1,0,40,11,1,50,49,0,416,363,0,2,1,0,0,6,64,0,0,2,2,30,7,1,15,2,8,173,1,0,29,225,17,51,100,50,2,6,355,370,713,18
L,0,143,4,11,23,227,108,44102,8,7,26,33,19,2,31,0,69,0,304,380,0,51,554,105,0,48,4,0,22,2,0,75,68,5,847,1346,0,5,6,0,0,6,48,15,0,148,63,18,24,0,20,0,45,28,2,4,134,710,54,240,29,192,265,203,466,129,200,202
T1,0,3,1,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,2,1,0,1,4,0,0,0,0,0,0,0,0,3,3,0,24,7,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,10,1,1,2,1,0,0,15,2,2,3
DC4,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,3,0,5,12,0,1,1,0,0,0,4,0,0,0,1,2,2,0,0,0,0,3,0,0,1,4,0,1,1,2,0,1,13,4,6,0
DC3,0,5,0,1,0,1,0,26,0,0,2,1,0,1,0,0,1,0,2,3,0,0,17,4,0,0,0,0,1,1,0,4,4,0,45,30,0,0,2,0,0,0,1,0,0,0,0,8,2,0,1,2,0,4,0,0,1,11,1,7,3,7,0,3,39,7,21,3
CD8_3,0,16,0,2,0,0,0,33,0,0,1,20,0,2,0,0,0,0,1,3,0,4,3,4,0,3,0,0,0,0,0,8,9,0,82,55,0,3,0,0,0,0,3,0,0,3,2,4,3,2,1,0,8,4,0,0,5,15,0,10,5,7,0,2,54,10,15,6
