,E3,E1,T2,T9,T4,T10,S,T1,DC4,DC3,CD8_3,DC2,M6,M13,M5,Mo8,M12,M2,M11,CD4_3,Mo3,M3,Mo4,M9,M8,NK2,N4,N5,N2,N3,T6,Mo2,Mo7,M1,M7,M4,Mo5,Mo6,B2,CD4_2,NKT,NK1,CD8_5,CD8_4,CD45_2,N1,CD8_1,CD4_1,Treg2,CD8_2,CD8_6,B1,Treg1,CD4_4,CD45_1,T3,T7,T5,T11,T8,DC1,E2,Mo1,N7,N6,M10,L,T12
E3,6,25,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,19,0,1,5,2,0,0,0,0,0,0,0,2,8,0,29,43,0,0,0,0,0,0,8,1,0,5,4,2,8,1,0,0,1,1,1,5,0,6,26,2,5,2,111,39,5,22,2,0,34
E1,25,3926,2,2,114,41,5,8,1,13,19,0,6,1,0,3,4,176,476,3,20,242,182,1,60,2,0,17,7,0,304,289,5,3172,1643,0,36,102,0,6,11,175,44,4,97,69,11,139,69,40,20,10,28,28,127,20,174,372,265,305,35,872,1941,175,456,111,9,2010
T2,0,2,0,0,4,3,0,0,0,0,0,0,0,0,0,0,3,14,24,0,0,6,2,0,0,0,0,1,0,0,1,2,0,28,48,0,1,1,0,0,1,0,1,0,4,1,0,1,2,1,0,0,1,0,1,0,3,35,6,19,2,7,8,1,7,2,3,28
T9,0,2,0,8,11,4,4,0,0,0,16,0,0,0,0,0,0,4,8,0,1,1,0,1,0,1,0,1,0,0,4,2,0,127,40,0,0,0,0,0,0,3,0,0,0,3,0,1,1,0,0,1,1,0,0,1,2,2,25,8,0,2,19,8,12,1,7,25
T4,0,114,4,11,726,94,3,5,0,0,3,0,39,0,3,0,2,201,989,0,5,1,1,9,0,0,3,2,16,0,179,10,0,5402,480,0,1,0,0,0,1,12,15,0,39,27,1,19,5,12,10,0,13,6,16,32,33,1504,1147,131,1,19,356,311,130,0,6,1519
T10,1,41,3,4,94,612,0,2,0,2,4,0,14,0,2,0,1,56,128,0,38,29,27,7,10,0,4,24,35,0,34,36,1,1356,359,4,0,1,0,0,2,49,4,0,10,267,1,35,22,9,7,3,8,4,31,5,26,305,461,101,5,53,241,1086,979,22,11,619
S,0,5,0,4,3,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,20,5,0,0,0,0,0,0,1,0,0,0,1,1,1,2,0,0,0,1,0,0,0,1,2,3,1,0,4,7,1,4,0,9,3
T1,0,8,0,0,5,2,0,0,0,0,0,0,0,0,0,0,1,8,26,0,1,3,0,0,2,1,0,0,0,0,3,2,0,50,31,0,0,0,0,0,0,8,0,0,2,0,0,4,2,3,1,0,1,2,3,2,11,8,1,5,0,17,27,3,8,1,10,30
DC4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,4,2,1,0,0,0,1
DC3,0,13,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,3,9,0,0,6,3,0,1,0,0,1,1,0,1,8,1,51,29,0,0,2,0,0,0,8,0,0,3,3,0,2,5,3,0,2,3,0,5,0,1,4,2,9,4,15,12,8,29,8,0,25
CD8_3,0,19,0,16,3,4,0,0,0,0,38,0,1,0,1,0,0,5,10,0,1,5,3,2,3,0,0,0,0,0,2,9,0,163,52,0,0,2,0,0,0,2,2,0,3,1,0,2,2,0,2,0,0,0,5,0,6,16,30,10,1,6,32,17,23,0,0,25
DC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,19,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,2,2,0,1,0,6,5
M6,0,6,0,0,39,14,0,0,0,0,1,0,26,0,0,0,0,2,26,0,0,0,0,0,0,0,1,0,8,0,26,1,0,676,115,0,0,0,0,0,0,3,0,0,1,6,0,0,0,1,0,0,1,0,3,3,1,48,184,57,1,2,55,44,17,0,2,128
M13,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,6
M5,0,0,0,0,3,2,0,0,0,0,1,0,0,0,8,0,0,28,23,0,0,0,0,0,0,0,0,1,0,0,0,2,0,5,49,0,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,18,8,12,0,1,2,0,10,0,0,44
Mo8,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,14,3,0,1,0,0,0,0,0,0,3,0,3,10,0,0,0,0,0,0,1,0,0,3,0,0,0,2,1,0,0,0,0,0,0,3,2,0,8,1,9,4,0,1,4,18,26
