cluster	NK_2019-22_1_reg001	NK_2019-22_1_reg002	NK_2019-22_2_reg001	NK_2019-22_2_reg002	NK_2019-22_3_reg001	NK_2019-22_3_reg002	NK_2019-22_4_reg001	NK_2019-22_4_reg002	NK_2019-22_5_reg001
N	61034	10854	17149	10516	16805	10171	9798	16641	12364
B	265	556	795	12627	143	136	433	113	121
CD8	1469	1199	3864	3222	964	722	1932	826	1109
CD4	2086	1783	4029	4052	1676	781	2832	1403	1288
M	87832	37073	64168	92868	48557	44640	97157	46325	80519
DC	277	141	145	528	226	174	874	358	308
Endo	6470	3603	4579	7081	3757	4485	9026	5587	8131
CD45+	2801	2042	3484	5503	2359	1231	2786	1643	1810
Mo	22710	19585	56954	18477	26812	22522	14708	21882	13816
Lymp_Ves	3621	1297	4634	2518	3029	1239	9137	8066	1666
NK	2948	201	3975	1992	2951	3036	2862	2297	1423
Treg	623	401	1512	1682	671	394	1654	604	956
Tumor	66969	27995	17111	74542	37242	24330	54753	15944	46419
S	52	324	19	168	23	167	783	92	19
