supercluster	cluster
N	N1
N	N2
N	N3
N	N4
N	N5
B	B1
B	B2
CD8	CD8_1
CD4	CD4_1
CD4	CD4_2
CD4	CD4_3
M	M13
CD8	CD8_2
DC	DC1
DC	DC2
DC	DC3
DC	DC4
Endo	E1
Endo	E2
CD8	CD8_3
CD45+	CD45_1
Mo	Mo1
Mo	Mo2
Mo	Mo3
Mo	Mo4
Mo	Mo5
Mo	Mo6
Mo	Mo7
Mo	Mo8
Lymp_Ves	L
M	M1
M	M2
M	M3
M	M4
M	M5
M	M6
M	M7
M	M8
M	M9
M	M10
NK	NK1
NK	NK2
NK	NKT
N	N6
N	N7
CD8	CD8_4
CD4	CD4_4
CD8	CD8_5
Endo	E3
CD45+	CD45_2
M	M11
M	M12
Treg	Treg1
Tumor	T1
Tumor	T2
Tumor	T3
Tumor	T4
Tumor	T5
Treg	Treg2
S	S
CD8	CD8_6
Tumor	T6
Tumor	T7
Tumor	T8
Tumor	T9
Tumor	T10
Tumor	T11
Tumor	T12
