B1	B2	CD4_1	CD4_2	CD4_3	CD4_4	CD45_1	CD45_2	CD8_1	CD8_2	CD8_3	CD8_4	CD8_5	CD8_6	DC1	DC2	DC3	DC4	E1	E2	E3	M1	M10	M11	M12	M13	M2	M3	M4	M5	M6	M7	M8	M9	Mo1	Mo2	Mo3	Mo4	Mo5	Mo6	Mo7	Mo8	N1	N2	N3	N4	N5	N6	N7	NK1	NK2	NKT	S	T1	T10	T11	T12	T2	T3	T4	T5	T6	T7	T8	T9	Treg1	Treg2
B1	4	0	11	0	0	1	8	2	1	2	2	0	1	4	2	0	0	1	13	19	0	30	9	7	0	1	7	12	0	0	0	102	2	0	54	15	1	8	1	1	0	0	8	0	0	0	5	24	13	17	0	2	0	0	2	3	20	0	0	0	0	2	13	10	0	0	2
B2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CD4_1	11	0	226	0	0	8	111	10	15	33	4	0	3	21	17	1	8	2	215	169	2	802	31	32	0	10	64	103	3	0	8	928	81	1	1196	195	69	26	18	13	2	0	111	8	0	1	26	404	219	184	0	34	0	0	30	81	217	0	0	1	13	40	51	154	2	7	76
CD4_2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	14	0	0	11	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
CD4_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD4_4	1	0	8	0	0	6	4	2	1	1	0	0	1	0	1	0	0	0	20	8	0	40	2	3	0	0	0	21	0	0	0	38	2	0	66	2	0	2	0	0	0	0	0	0	0	0	2	1	4	4	0	1	0	0	1	4	25	0	0	0	3	3	6	7	0	1	5
CD45_1	8	0	111	1	0	4	154	17	5	24	5	2	6	32	21	2	1	1	241	122	1	865	34	43	0	20	85	112	1	0	13	982	62	1	1182	139	80	45	13	2	2	2	115	13	0	2	49	370	221	196	0	40	6	0	29	67	221	1	3	1	13	40	68	138	1	3	37
CD45_2	2	0	10	0	0	2	17	16	0	3	3	0	0	7	4	0	0	0	36	32	0	236	3	33	0	0	6	34	0	0	1	142	5	0	221	26	1	9	1	1	1	0	3	0	0	0	0	11	9	24	0	4	0	2	2	14	74	0	0	1	13	19	27	20	0	1	8
CD8_1	1	0	15	1	0	1	5	0	8	1	0	0	0	2	0	0	2	0	17	7	0	67	1	1	0	2	3	10	0	0	1	38	1	0	91	11	4	3	0	0	0	0	12	0	0	0	1	20	13	7	0	0	1	0	2	3	16	0	0	0	1	4	4	8	0	0	5
CD8_2	2	0	33	0	0	1	24	3	1	14	3	0	1	7	5	0	2	2	67	61	0	220	3	12	0	0	13	30	0	0	2	247	12	0	289	37	12	7	4	1	0	0	33	1	0	0	6	95	61	55	0	10	0	2	7	21	55	1	1	1	4	15	13	46	1	0	13
CD8_3	2	0	4	0	0	0	5	3	0	3	20	0	0	8	0	0	1	0	16	7	0	82	2	3	0	0	1	3	0	0	2	55	3	0	54	9	4	4	3	0	0	0	4	0	0	0	0	15	10	3	0	0	0	0	0	5	15	0	0	0	0	8	6	10	2	2	1
CD8_4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	2	0	0	8	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CD8_5	1	0	3	0	0	1	6	0	0	1	0	0	2	0	0	0	0	0	13	4	0	63	0	10	0	0	5	11	0	0	0	21	0	0	56	5	0	2	0	0	1	1	1	1	0	0	0	2	7	2	2	1	0	0	0	7	16	0	0	2	1	0	5	2	0	1	2
CD8_6	4	0	21	0	0	0	32	7	2	7	8	0	0	8	1	0	0	0	29	32	0	159	4	12	0	9	15	13	2	0	0	227	17	0	211	27	27	10	4	0	1	1	23	2	0	0	9	86	57	35	0	5	0	0	8	4	39	0	1	0	3	8	13	27	0	1	8
DC1	2	0	17	0	0	1	21	4	0	5	0	1	0	1	32	0	0	0	21	23	0	98	13	13	0	0	13	65	0	0	2	195	10	0	109	25	1	34	2	1	0	4	10	1	0	0	6	36	13	20	0	8	0	0	2	14	78	0	1	0	7	9	21	42	1	3	8
DC2	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	2	0	27	0	1	0	1	3	1	0	0	0	17	2	0	10	6	4	1	0	0	0	0	3	1	0	0	1	13	9	2	0	1	0	0	1	1	5	0	0	1	0	2	1	4	0	0	1
DC3	0	0	8	0	0	0	1	0	2	2	1	0	0	0	0	0	2	0	5	7	0	45	3	3	0	0	2	17	0	0	1	30	0	0	39	4	0	4	0	2	0	1	4	1	0	0	1	21	7	1	0	0	1	0	0	3	11	0	0	0	1	4	3	7	1	0	1
DC4	1	0	2	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	2	0	5	1	0	0	0	1	1	0	0	0	12	0	0	13	3	2	0	1	1	0	0	3	0	0	0	0	6	4	4	0	0	0	0	1	1	4	0	0	0	0	1	0	1	0	0	0
E1	13	0	215	0	0	20	241	36	17	67	16	0	13	29	21	3	5	0	1978	489	0	1864	69	108	1	23	108	386	2	0	23	1605	52	1	3300	295	134	82	53	27	3	6	228	31	0	0	45	734	478	357	2	46	14	3	46	108	728	2	2	3	39	126	165	241	0	20	88
E2	19	0	169	1	0	8	122	32	7	61	7	1	4	32	23	2	7	2	489	2246	2	835	69	58	3	11	92	351	0	3	10	1635	75	0	1518	239	101	64	33	14	9	14	181	9	0	0	52	756	366	222	4	15	3	1	50	49	639	1	6	0	20	48	223	269	4	3	66
E3	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
M1	30	0	802	3	3	40	865	236	67	220	82	1	63	159	98	27	45	5	1864	835	0	53180	114	2007	3	104	873	218	11	1	564	5768	196	20	17291	827	674	136	48	12	11	5	1045	293	2	9	127	2994	3739	1291	0	155	50	24	416	3645	4183	0	213	499	843	4848	511	1125	30	68	321
M10	9	0	31	0	0	2	34	3	1	3	2	0	0	4	13	0	3	1	69	69	1	114	52	11	0	0	30	179	0	0	1	455	22	0	176	61	4	70	7	3	4	13	25	1	0	0	8	79	19	35	1	2	0	0	6	18	220	0	1	1	6	3	55	81	0	1	10
M11	7	0	32	0	0	3	43	33	1	12	3	0	10	12	13	1	3	0	108	58	0	2007	11	228	1	0	69	64	0	0	10	302	8	0	676	42	8	9	5	2	1	3	19	5	0	0	1	48	59	70	2	8	2	1	9	114	271	2	22	29	84	185	58	59	1	6	11
