N	B	CD8	CD4	M	DC	Endo	CD45+	Mo	NK	Treg	Tumor	S
N	11900	97	413	780	15127	239	2667	571	4095	959	332	8734	124
B	97	374	64	129	691	18	103	81	248	112	67	205	5
CD8	413	64	342	376	3932	50	414	261	1239	357	190	1514	23
CD4	780	129	376	966	5240	101	816	459	1938	596	342	1815	13
M	15127	691	3932	5240	253278	1560	14952	5550	30436	5188	3296	119170	1834
DC	239	18	50	101	1560	128	196	69	360	110	65	889	7
Endo	2667	103	414	816	14952	196	9630	597	3884	668	400	8627	79
CD45+	571	81	261	459	5550	69	597	470	1556	483	234	2270	22
Mo	4095	248	1239	1938	30436	360	3884	1556	13268	2155	1177	10080	94
NK	959	112	357	596	5188	110	668	483	2155	1090	353	1706	32
Treg	332	67	190	342	3296	65	400	234	1177	353	326	1121	17
Tumor	8734	205	1514	1815	119170	889	8627	2270	10080	1706	1121	95840	1101
S	124	5	23	13	1834	7	79	22	94	32	17	1101	394
