comparison	log_odds_ratio	norm_interactions	interactions_counts	expected_counts	condition
B1_vs_B1	1.39649178651125	2.49896223215298e-05	40	1.60534836680936	untreated
B2_vs_B1	-2.83952521231016	6.24738996190756e-11	0	0.0691075047558464	untreated
CD4_1_vs_B1	0.878624503798148	6.12244841005937e-05	98	12.959910879171	untreated
CD4_2_vs_B1	1.28896216290903	1.87427946247189e-06	3	0.154231672470676	untreated
CD4_3_vs_B1	1.27920074653874	1.24954046628113e-06	2	0.105160093435068	untreated
CD4_4_vs_B1	-2.38096641833104	6.24738996190756e-11	0	0.0240417689068189	untreated
CD45_1_vs_B1	0.506942600282802	3.37359682682004e-05	54	16.805520338288	untreated
CD45_2_vs_B1	0.398411219181111	1.24954046628113e-06	2	0.799172425510092	untreated
CD8_1_vs_B1	0.807174543960512	3.74849645104415e-06	6	0.93537109385382	untreated
CD8_2_vs_B1	0.527762447753223	8.7464084205702e-06	14	4.15306463347438	untreated
CD8_3_vs_B1	-4.17527709198914	6.24738996190756e-11	0	1.4971906007717	untreated
CD8_4_vs_B1	-1.90408750939367	6.24738996190756e-11	0	0.00801839616049797	untreated
CD8_5_vs_B1	-3.21549554320033	6.24738996190756e-11	0	0.164246280437127	untreated
CD8_6_vs_B1	0.558746144770651	6.87219143199793e-06	11	3.03843876680844	untreated
DC1_vs_B1	-0.00620284350191608	6.24801470090375e-07	1	1.01448649678878	untreated
DC2_vs_B1	-3.37539457635647	6.24738996190756e-11	0	0.237352918592216	untreated
DC3_vs_B1	-3.61553823152818	6.24738996190756e-11	0	0.412608558005101	untreated
DC4_vs_B1	1.25899862001391	1.24954046628113e-06	2	0.110167397418294	untreated
E1_vs_B1	0.170814859757994	1.87422323596223e-05	30	20.2445367139671	untreated
E2_vs_B1	0.645257936397151	5.81007891196399e-05	93	21.0487097336731	untreated
E3_vs_B1	-2.59177316317988	6.24738996190756e-11	0	0.0390636808564947	untreated
M1_vs_B1	-0.537744821885605	7.37192640244088e-05	118	407.030728515814	untreated
