comparison	log_odds_ratio	norm_interactions	interactions_counts	expected_counts	condition
N_vs_N	0.513610102049596	0.110292701694576	176542	54105.0671636891	untreated
B_vs_N	-0.242192032770165	0.000109954155478697	176	307.400767398567	untreated
CD8_vs_N	-0.311401487402051	0.000548521049168219	878	1798.44041168734	untreated
CD4_vs_N	-0.214397289619509	0.000927112983036951	1484	2431.25896355442	untreated
M_vs_N	-0.371128086894251	0.0292277971484719	46784	109957.647259636	untreated
DC_vs_N	-0.292824023071543	0.000103706763830698	166	325.785966465013	untreated
Endo_vs_N	-0.234210580266856	0.00276447086671342	4425	7587.93959771122	untreated
CD45+_vs_N	-0.0872010675877478	0.00165181041420482	2644	3231.93438289815	untreated
Mo_vs_N	-0.270086901868565	0.00892877220579393	14292	26618.2752993989	untreated
N_vs_NK	-0.233801612453651	0.00126822056701769	2030	3477.74449441653	untreated
N_vs_Treg	-0.494590963536467	0.00014681376620189	235	733.937385740116	untreated
N_vs_Tumor	-0.273039493735839	0.0278708636825265	44612	83654.8622152253	untreated
N_vs_S	-0.490637910534693	1.12453674403145e-05	18	55.7073921789195	untreated
B_vs_B	1.35988912286662	2.4989629065912e-05	40	1.74651352915508	untreated
B_vs_CD8	0.482000035156022	1.9366976582713e-05	31	10.2179332113334	untreated
B_vs_CD4	0.893125930929924	6.74718922723045e-05	108	13.8133248939546	untreated
B_vs_M	-0.112645317276583	0.000301124339907463	482	624.730120871888	untreated
B_vs_DC	0.209736351372705	1.87427996831615e-06	3	1.85096999872572	untreated
B_vs_Endo	0.465780017826604	7.87171972387024e-05	126	43.1112754791257	untreated
B_vs_CD45+	0.506923206053134	3.68596731971099e-05	59	18.3624041437556	untreated
B_vs_Mo	0.250105522158731	0.000168054897805087	269	151.233122566992	untreated
B_vs_NK	0.536744872759725	4.24823256803089e-05	68	19.758987141915	untreated
B_vs_Treg	0.0788526726707549	3.12375829791592e-06	5	4.16990362319377	untreated
B_vs_Tumor	-0.196951108328208	0.000188671290243483	302	475.289472680662	untreated
B_vs_S	0.976755895728987	1.87427996831615e-06	3	0.316504460733122	untreated
CD8_vs_CD8	0.52011124454645	0.000123698417104294	198	59.7797597146465	untreated
CD4_vs_CD8	0.499051018634382	0.000159308549497888	255	80.8145077817739	untreated
CD8_vs_M	0.00343608226572378	0.00230153914559671	3684	3654.96776498796	untreated
CD8_vs_DC	0.0793562080026122	8.12167161631503e-06	13	10.8290531435567	untreated
CD8_vs_Endo	0.278553626682737	0.000299250122413063	479	252.221426371777	untreated
CD45+_vs_CD8	0.368553247396224	0.000156809592838689	251	107.4287808301	untreated
CD8_vs_Mo	0.271959999631944	0.00103394338021773	1655	884.785557016837	untreated
CD8_vs_NK	0.419917942424618	0.000189920768573083	304	115.599454323927	untreated
CD8_vs_Treg	0.515773406961921	4.99791956579076e-05	80	24.3959156389149	untreated
CD8_vs_Tumor	-0.153892008866582	0.0012188661729985	1951	2780.66903395263	untreated
CD8_vs_S	0.209564790299246	1.87427996831615e-06	3	1.85170133919585	untreated
CD4_vs_CD4	0.810380263400069	0.000441065912822638	706	109.250768139342	untreated
CD4_vs_M	-0.0841176050557777	0.00254331320237426	4071	4941.04396363747	untreated
CD4_vs_DC	0.311597050291935	1.87422374179131e-05	30	14.639480046702	untreated
CD4_vs_Endo	0.40680215808337	0.00054352313584982	870	340.97076538195	untreated
CD4_vs_CD45+	0.489222296772968	0.000279883208304267	448	145.229825041494	untreated
CD4_vs_Mo	0.326889526202085	0.00158621280190083	2539	1196.11570243932	untreated
CD4_vs_NK	0.60198913573162	0.000390462040473847	625	156.275519433727	untreated
CD4_vs_Treg	0.674872586795057	9.74593721826991e-05	156	32.9801244376958	untreated
CD4_vs_Tumor	-0.291331061648131	0.0012007487372193	1922	3759.10509435931	untreated
CD4_vs_S	0.601498235205799	6.24745412191537e-06	10	2.5032608528418	untreated
M_vs_M	0.135988728421614	0.190941529956923	305634	223466.762443812	untreated
DC_vs_M	-0.0456735384018084	0.00037234460469465	596	662.094333499706	untreated
Endo_vs_M	-0.122830488551219	0.00726071863577822	11622	15420.958321488	untreated
CD45+_vs_M	-0.0374208985582014	0.00376467826955805	6026	6568.25542357896	untreated
M_vs_Mo	0.00391386094860743	0.0341020121122406	54586	54096.2811704165	untreated
M_vs_NK	-0.0571036668784002	0.00387150866673883	6197	7067.81494641289	untreated
M_vs_Treg	0.00331250059221603	0.000938983027168149	1503	1491.57985383727	untreated
M_vs_Tumor	-0.0351907962226751	0.0979459815806357	156779	170011.651647824	untreated
M_vs_S	-0.000821498839308656	7.05955880963039e-05	113	113.214049997054	untreated
DC_vs_DC	1.15453277741052	1.74927590883134e-05	28	1.96167385994435	untreated
DC_vs_Endo	0.289572197254757	5.56018481411066e-05	89	45.6896990413039	untreated
CD45+_vs_DC	0.229358288846822	2.06164549123128e-05	33	19.4606332027735	untreated
DC_vs_Mo	0.104756035631662	0.000127446852093094	204	160.278158750097	untreated
DC_vs_NK	0.210488090370463	2.12411940771127e-05	34	20.9407438272666	untreated
DC_vs_Treg	0.433831422292956	7.49693245151514e-06	12	4.41929957899797	untreated
DC_vs_Tumor	0.0475507723619701	0.000351103473091454	562	503.715854447271	untreated
DC_vs_S	0.775444449220863	1.24954080351626e-06	2	0.33543413864265	untreated
Endo_vs_Endo	0.794110540591428	0.00413827229010838	6624	1064.16700610169	untreated
CD45+_vs_Endo	0.297411280588324	0.000561640571629016	899	453.261111514811	untreated
Endo_vs_Mo	0.264068318734767	0.00428383651550675	6857	3733.06745107671	untreated
Endo_vs_NK	0.334657055693747	0.000658475142172999	1054	487.734634541133	untreated
Endo_vs_Treg	0.220451429124625	0.000106830459654697	171	102.93070212166	untreated
Endo_vs_Tumor	-0.163635180077012	0.00502852559994822	8049	11732.1366522577	untreated
Endo_vs_S	-0.0476945088281018	4.3732366275157e-06	7	7.81265691290623	untreated
CD45+_vs_CD45+	0.470187802699232	0.000356101386409853	570	193.05770056172	untreated
