B1	B2	CD4_1	CD4_2	CD4_3	CD4_4	CD45_1	CD45_2	CD8_1	CD8_2	CD8_3	CD8_4	CD8_5	CD8_6	DC1	DC2	DC3	DC4	E1	E2	E3	M1	M10	M11	M12	M13	M2	M3	M4	M5	M6	M7	M8	M9	Mo1	Mo2	Mo3	Mo4	Mo5	Mo6	Mo7	Mo8	N1	N2	N3	N4	N5	N6	N7	NK1	NK2	NKT	S	T1	T10	T11	T12	T2	T3	T4	T5	T6	T7	T8	T9	Treg1	Treg2
B1	1.39649178651125	-2.83952521231016	0.878624503798148	1.28896216290903	1.27920074653874	-2.38096641833104	0.506942600282802	0.398411219181111	0.807174543960512	0.527762447753223	-4.17527709198914	-1.90408750939367	-3.21549554320033	0.558746144770651	-0.00620284350191608	-3.37539457635647	-3.61553823152818	1.25899862001391	0.170814859757994	0.645257936397151	-2.59177316317988	-0.537744821885605	0.718334338280543	-0.762171633271533	-2.69966214889442	1.3272644930341	-0.389531714632059	0.778577126726484	0.803491288680332	-3.61448285455467	-0.710200214663387	0.348365245620886	0.659319733695455	-3.97376490208847	0.171916210019456	0.553924708411892	0.0681196446253228	0.803468884162631	0.531522566757987	0.12030975097552	1.25117375483919	0.86905415244583	-0.119050749488596	-0.447594463760563	-3.93715106325527	-3.45548902261501	0.194417021080967	-0.172419042784699	-0.54769479067748	0.49849553815959	0.779283857840779	0.732196297229736	0.995049546357098	-3.58610224029134	-0.373063012700356	-0.68312690617963	-0.250581383826899	-2.77883369688986	-4.05486643105452	-5.13128951739776	-0.40475113582336	-0.638419031334863	0.288175649169272	0.44893938312168	-3.80135563532581	-3.03004492397087	0.108952965029608
B2	-2.83952521231016	-1.47348113406875	0.952420753328451	-1.82212948981068	-1.65580688506508	-1.01492234008963	0.617727845414068	-2.53659641242271	-2.60493986636277	-3.25232461177597	-2.80923301374773	-0.538043431152261	-1.84945146495892	-3.11660641025987	-2.64020219253737	-2.00935049811506	-2.24949415328677	-1.67600901158991	0.0597796629107406	0.343870308946786	-1.22572908493847	-0.942531409151112	-3.14607305952223	-3.87326328599125	-1.33361807065302	-2.00567011886329	-4.27876255423438	-3.21710851928248	-1.83050806035512	-2.24843877631326	-3.34419956369884	0.555694538278926	0.849292819416566	-2.60772082384706	0.176237644860819	0.937705334637283	-3.26481496727207	1.1695520467578	-2.57956908596173	1.48635382921693	-1.68383387676463	-1.76494519658963	-0.200122826361497	-3.08159381279602	-2.57110698501386	-2.0894449443736	0.861525836460437	-0.386144465878546	-4.54338043668644	0.15701201602295	-1.85471549119468	0.952152664977404	-2.11604210636262	-2.22005816204993	-0.00697985010519087	-4.54753430398241	-0.368826643684882	-1.41278961864846	-2.68882235281312	-3.76524543915635	-4.11789192273518	-4.22662228800022	0.688087678130696	0.690051420068071	-2.4353115570844	-1.66400084572947	-3.22398164686778
CD4_1	0.878624503798148	0.952420753328451	0.807734598129027	0.749897951624544	1.07112065511642	-3.28799914283123	0.496925012761114	0.231723418107624	0.803225473050444	0.564504050006629	-0.179214400850293	-2.81112023389386	0.178523442144704	0.455415447433027	0.0409683396277886	0.416551389282137	0.431676378878386	0.829072674233182	0.239977925859881	0.524854139080944	0.50123753959679	-0.297861897384843	0.149053035570446	-0.456143122389971	0.69435683645061	0.0223047882403382	-0.207446886777571	0.302207067948585	-0.103541435819861	-0.220463869209637	-0.839117877875752	0.290463352457761	0.591134862090704	-0.880754199311796	0.296291735697584	0.540837802188381	0.288183680887393	0.238856471622881	0.594513693687842	0.359364736969066	0.344141030339	0.263029710514001	-0.105886948961499	-0.275485750384391	-4.84418378775546	-4.3625217471152	0.366557580649152	-0.193852843836195	-0.364670650442828	0.598221629590346	-0.127748866659414	0.656756497399635	0.565128425802542	-0.192083254946305	-0.330709585507687	-0.433221102395771	-0.372985422768728	-3.68586642139006	-0.961855728277855	-0.640380496051459	-0.620115977742918	-0.613207801550893	0.193151449502403	0.225403545945045	0.136715884350827	0.540058082490058	0.679033098975856
CD4_2	1.28896216290903	-1.82212948981068	0.749897951624544	-2.17077784555262	-2.00445524080701	-1.36357069583156	0.746191093617772	-2.88524476816464	-2.9535882221047	0.399070459758958	-3.15788136948966	-0.886691786894195	-2.19809982070086	1.01188096495931	-2.98885054827931	-2.357998853857	-2.59814250902871	-2.02465736733184	-0.288868692831193	0.296241091913921	-1.57437744068041	-0.814072986173582	-3.49472141526417	-4.22191164173318	-1.68226642639495	-2.35431847460522	0.0715677801624882	0.434286552252454	-2.17915641609706	-2.5970871320552	-3.69284791944078	0.692598885308501	0.898571443968205	-2.95636917958899	0.003678738633075	0.367214019717673	-3.613463323014	-3.179139736261	-2.92821744170366	1.13770547347499	-2.03248223250656	-2.11359355233156	-0.0716788784191698	-3.43024216853795	-2.9197553407558	-2.43809330011553	-3.48716594655836	-0.73479282162048	-0.89198536515151	0.10937194284938	-2.20336384693661	-3.39653911804139	-2.46469046210455	-2.56870651779186	-0.355628205847125	-0.896139232447477	-0.541387359416421	-1.76143797439039	-3.03747070855505	-4.11389379489828	-0.466496851200252	-4.57527064374215	0.640463889473505	0.709375713532048	-2.78395991282633	-2.0126492014714	0.427413424667145
CD4_3	1.27920074653874	-1.65580688506508	1.07112065511642	-2.00445524080701	-1.83813263606141	-1.19724809108596	0.25931807330184	-2.71892216341904	-2.7872656173591	-3.4346503627723	-2.99155876474406	-0.720369182148593	-2.03177721595525	-3.29893216125621	-2.8225279435337	-2.19167624911139	-2.43181990428311	2.14170866469062	-4.12258951536245	0.860497191028333	-1.4080548359348	-0.948773139031547	-3.32839881051856	-4.05558903698758	-1.51594382164935	1.81204755741724	-4.46108830523071	-3.39943427027881	-2.01283381135146	-2.4307645273096	-3.52652531469517	0.184313944510344	0.843051089536131	-2.79004657484339	0.294939175213404	1.05640523642526	-3.4471407182684	-3.0128171315154	-2.76189483695806	-2.69601534905627	-1.86615962776096	-1.94727094758596	-4.38249200463469	-3.26391956379235	-2.75343273601019	-2.27177069536993	-3.32084334181276	-0.00420931456406806	-0.424654477837544	0.752801326314447	-2.03704124219101	1.24691921766533	1.70167556991791	-2.40238391304626	-4.18934902837838	-0.428808345133511	-0.45424455309671	-1.59511536964479	-2.87114810380945	-3.94757119015268	-4.30021767373151	-4.40894803899655	0.380826809541192	0.206702911468172	-2.61763730808073	-1.8463265967258	-3.40630739786412
CD4_4	-2.38096641833104	-1.01492234008963	-3.28799914283123	-1.36357069583156	-1.19724809108596	-0.556363546110512	-3.40084909156794	-2.07803761844359	-2.14638107238365	-2.79376581779685	-2.35067421976861	-0.079484637173143	-1.3908926709798	-2.65804761628076	-2.18164339855825	-1.55079170413594	-1.79093535930766	-1.21745021761079	0.518338456889859	-3.49862260691932	-0.767170290959355	0.0600799191596054	-2.68751426554311	-3.41470449201213	-0.875059276673898	-1.54711132488417	-3.82020376025526	-2.75854972530336	-1.37194926637601	-1.78987998233415	-2.88564076971972	-0.216154716509276	-2.99320009644954	-2.14916202986794	0.576805267377725	0.697328865754464	-2.80625617329295	-2.37193258653995	-2.12101029198261	-2.05513080408082	-1.22527508278551	-1.30638640261051	-3.74160745965924	-2.6230350188169	-2.11254819103474	-1.63088615039448	-2.67995879683731	-4.40472140286055	-4.08482164270732	-3.38447261727479	-1.39615669721556	-2.58933196832034	-1.6574833123835	-1.76149936807081	-3.54846448340294	-0.0889320827264249	-0.0352029672989362	-0.954230824669338	-2.230263558834	-3.30668664517723	-3.65933312875606	-3.7680634940211	0.544619050832381	-3.6295482745175	-1.97675276310528	-1.20544205175035	1.53562885695656
CD45_1	0.506942600282802	0.617727845414068	0.496925012761114	0.746191093617772	0.25931807330184	-3.40084909156794	0.496604519380367	-0.144364675336324	0.600199102759589	0.330232052282721	-0.417001276661347	-2.92397018263057	0.241757514523895	0.470595153876678	0.229145973828048	0.303701440545431	-0.0333500562107853	0.415199967892908	0.232518174659572	0.372895274776214	-3.61165583641678	-0.207905927154266	0.238852936733323	-0.389957730854541	0.28049860514554	0.649799762930338	0.100979323539374	0.189357119211878	0.482543878305369	0.479581165229202	-0.474851397333423	0.226445953896532	0.452349192170613	-0.0905521596863269	0.25363845364878	0.372628018002668	0.246885922279569	0.181523613849118	0.28977908040369	0.21433034348253	0.532310220311362	0.548106742070867	-0.0370896204088381	0.00960213809119794	-0.479898005531046	-0.475328268575042	0.260886204673619	-0.0448155892722253	-0.16513098102494	0.471745640925637	0.537516245891707	0.429505941266231	0.10010199071337	-0.00391406497394224	-0.132878402252009	-0.285100946885526	-0.283105856722039	-3.79871637012676	-5.07474910429142	-0.632656934714878	-0.549575682225006	-0.460260389254389	0.203880897297725	0.195283153587854	-0.122259618423906	0.552143251346523	0.314371404732724
CD45_2	0.398411219181111	-2.53659641242271	0.231723418107624	-2.88524476816464	-2.71892216341904	-2.07803761844359	-0.144364675336324	1.17844679778802	0.632996565128495	0.529664354046895	0.604787438859432	-1.60115870950622	-2.91256674331288	0.42234915994046	0.597734238953895	-3.07246577646902	0.687433995636129	-2.73912428994387	-0.158274798543256	-0.0202923363292954	-2.28884436329243	0.187456335865071	-0.20914491059933	0.726380211453778	1.60331007826989	-3.06878539721725	-0.0631219458810922	-0.280180370359572	-2.89362333870908	-3.31155405466722	-0.40727141477594	-0.232720880631175	0.330230075394205	-3.67083610220102	0.123841332878632	-0.0462301452907857	-4.32793024562603	0.106436768403837	-3.64268436431569	-3.57680487641389	-2.74694915511859	-2.82806047494359	-5.26328153199232	-0.144665663873116	-3.63422226336782	-3.15256022272756	-4.20163286917039	-1.14823698662894	-0.828337226475708	-0.00305127396883377	1.08221265772823	0.491064807900877	-3.17915738471658	0.716869986872972	-0.769086845890787	-0.212707836489875	-0.0944930187857461	-2.47590489700242	-3.75193763116708	0.12588661739645	0.350472993287947	-0.0592860903099929	-0.0228511138707993	-0.151218003927475	-3.49842683543836	1.27292730319344	0.558007318955082
CD8_1	0.807174543960512	-2.60493986636277	0.803225473050444	-2.9535882221047	-2.7872656173591	-2.14638107238365	0.600199102759589	0.632996565128495	1.34278626649643	0.315195346068806	-3.94069174604175	-1.66950216344628	-2.98091019725294	0.450913547584901	-3.77166092483139	-3.14080923040908	0.619090541696066	-2.80746774388393	0.2070333900471	0.38848256917306	-2.3571878172325	-0.349735576314009	-0.277488364539393	-0.226563529720581	-2.46507680294704	-3.13712885115731	-0.264090148757798	0.496536992600328	-2.96196679264915	-3.37989750860729	-0.475614868716003	0.294155219736307	0.495967242430544	0.260863871135781	0.404134823977512	0.651337197394341	-0.0952219897208654	0.339101597032138	-3.71102781825575	0.354895096922905	-2.81529260905865	-2.89640392888365	-0.553466497367691	-4.21305254509004	-3.70256571730789	-3.22090367666762	-4.26997632311045	-0.322640147168145	-0.373807001849499	0.347731219250022	-2.9861742234887	0.820654848329623	-3.24750083865664	-3.35151689434395	-0.360323521111385	-0.264018017945431	-0.403385351609086	-2.54424835094248	-3.82028108510714	-0.89666074417351	-0.404246410852378	-0.880945289333116	0.334771148550555	0.311914393586446	0.433273137898441	-2.79545957802349	0.790690758608795
CD8_2	0.527762447753223	-3.25232461177597	0.564504050006629	0.399070459758958	-3.4346503627723	-2.79376581779685	0.330232052282721	0.529664354046895	0.315195346068806	0.612285574034786	0.0139943570993418	-2.31688690885948	0.672756767179082	0.426771474830859	0.0580900607165295	0.512857734022942	-0.0282942037171337	0.545190937979732	0.384696820846637	0.32843348501289	-3.00457256264569	-0.0672200110136747	0.0293307976773051	0.0554642639564379	-3.11246154836024	0.215529830706352	-0.212507371507097	0.305080170141265	0.390691889214517	-4.02728225402049	-0.00909634838529309	0.198646022255662	0.509761110983974	0.0905714294068421	0.254721310336112	0.394382123028119	0.160464252008663	0.168823630338402	0.243658284885344	0.552571168409669	0.537366072805014	0.456254752980015	-0.271438703690672	-0.08227880193855	-4.34995046272109	0.432763287764406	-0.0722568243468217	-0.36796559427557	-0.317902110616695	0.37812554533313	0.366484458374963	0.377388456981274	0.582250146891283	0.302150070088073	-0.280715419601234	-0.261919418071076	-0.232544939992044	-3.19163309635568	-4.46766583052034	-0.146147171017081	-0.0838213756547047	-0.289461586891746	0.139682903243301	0.193747671796982	0.484823655347178	0.557199103840175	0.428540248079084
