N	B	CD8	CD4	M	DC	Endo	CD45+	Mo	NK	Treg	Tumor	S
N	0.478871811949529	-0.301510857509846	-0.135932733636224	-0.115283897649101	-0.154454934957528	-0.041735575019539	-0.0298941287119091	-0.161279874408725	-0.0454287010569658	0.00949962588257466	-0.157058690827681	-0.144296410341253	0.242228785259844
B	-0.301510857509846	1.31237269045694	0.0964387805759275	0.147951529524243	-0.0708531963118441	0.172932455894964	0.0621951137615285	0.349459995789507	-0.0831759347879619	0.0795376988974219	0.287067122038919	0.0557619450946063	1.02578657893952
CD8	-0.135932733636224	0.0964387805759275	0.342468769605354	0.170736345866139	-0.0737315682529386	0.123219167569627	0.0257978583139225	0.162382966098165	0.0197153678209319	0.152450299301352	0.123121131932981	0.0272141304297712	0.352830617955025
CD4	-0.115283897649101	0.147951529524243	0.170736345866139	0.288417387617108	-0.0740206072424264	0.0801138629528224	0.0908883185882184	0.138095817212432	0.0252741731662053	0.130534190351542	0.224217791154578	-0.00680009953050925	0.477040063043242
M	-0.154454934957528	-0.0708531963118441	-0.0737315682529386	-0.0740206072424264	0.125114783871294	-0.0278004358966909	-0.233955500363704	-0.0609628074312833	-0.115400244115983	-0.0739175396847196	-0.0516647772194378	0.0379415009182201	-0.173204088516801
DC	-0.041735575019539	0.172932455894964	0.123219167569627	0.0801138629528224	-0.0278004358966909	1.01357651081298	0.117797053180158	0.134407392610921	-0.0299716010715617	0.0393716409368903	-0.0184087933387725	0.0632607829297621	-2.91172785470716
Endo	-0.0298941287119091	0.0621951137615285	0.0257978583139225	0.0908883185882184	-0.233955500363704	0.117797053180158	0.741355747810844	0.0258306191365673	0.0422067873451995	0.0860994438409838	0.0770362648094695	-0.0417360941340355	0.049845161339346
CD45+	-0.161279874408725	0.349459995789507	0.162382966098165	0.138095817212432	-0.0609628074312833	0.134407392610921	0.0258306191365673	0.276602136558928	0.0320770907194578	0.162484904509043	0.150002267536519	-0.0217645424063689	0.185641359909355
Mo	-0.0454287010569658	-0.0831759347879619	0.0197153678209319	0.0252741731662053	-0.115400244115983	-0.0299716010715617	0.0422067873451995	0.0320770907194578	0.120274166647731	-0.00646018114118753	0.0209576072939206	-0.0770991494309283	-0.0321075533237912
NK	0.00949962588257466	0.0795376988974219	0.152450299301352	0.130534190351542	-0.0739175396847196	0.0393716409368903	0.0860994438409838	0.162484904509043	-0.00646018114118753	0.348135221267573	0.148310940452573	-0.0190772353731643	0.114086577098843
Treg	-0.157058690827681	0.287067122038919	0.123121131932981	0.224217791154578	-0.0516647772194378	-0.0184087933387725	0.0770362648094695	0.150002267536519	0.0209576072939206	0.148310940452573	0.44560549421611	-0.0522710497376346	0.0563302684179549
Tumor	-0.144296410341253	0.0557619450946063	0.0272141304297712	-0.00680009953050925	0.0379415009182201	0.0632607829297621	-0.0417360941340355	-0.0217645424063689	-0.0770991494309283	-0.0190772353731643	-0.0522710497376346	0.184672168192526	-0.509839892924266
S	0.242228785259844	1.02578657893952	0.352830617955025	0.477040063043242	-0.173204088516801	-2.91172785470716	0.049845161339346	0.185641359909355	-0.0321075533237912	0.114086577098843	0.0563302684179549	-0.509839892924266	-2.0588737316626
