SampleName	100001101-Pre	100001106-Pre	100001107-Pre	100001109-Pre	100001115-Pre	100005101-Pre	100001104-Pre	100001105-Pre	100001110-Pre	100001113-Pre	100001114-Pre	100001116-Pre	100004103-Pre	100005103-Pre	100004102-Pre	100006101-Pre	100001103-Pre	100001111-Pre	100001101-Post	100001106-Post	100001107-Post	100001109-Post	100001115-Post	100005101-Post	100001104-Post	100001105-Post	100001110-Post	100001113-Post	100001114-Post	100001116-Post	100004103-Post	100005103-Post	100004102-Post	100006101-Post	100001103-Post	100001111-Post	100001112-Post	100001102-Post
Patient	100001101	100001106	100001107	100001109	100001115	100005101	100001104	100001105	100001110	100001113	100001114	100001116	100004103	100005103	100004102	100006101	100001103	100001111	100001101	100001106	100001107	100001109	100001115	100005101	100001104	100001105	100001110	100001113	100001114	100001116	100004103	100005103	100004102	100006101	100001103	100001111	100001112	100001102
Timepoint	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Pre	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post	Post
Response	PD	PD	PD	PD	PD	PD	SD	SD	SD	SD	SD	SD	SD	SD	PR	PR	PR	PR	PD	PD	PD	PD	PD	PD	SD	SD	SD	SD	SD	SD	SD	SD	PR	PR	PR	PR	PR	PD
A2M	83.82	2706.65	2391.48	441.88	141.56	2859.66	483.7	3898.21	473.49	2254.14	2785.52	4119.62	303.91	1644.92	1139.03	343.28	771.62	6163.42	66.43	3313.07	1881.69	512.54	516.69	4205.16	625.19	1009.71	648.05	1825.95	1764.76	857.16	740.91	1195.61	840.65	956.22	756.21	518.14	757.52	1417.32
ACVR1C	5.66	23.74	21.39	24.39	14.79	9.35	25.6	16.88	10.06	3.41	30.31	32.91	5.29	8.45	9.1	7.25	4.68	14.41	8.39	20.77	13.31	10.85	6.72	8.01	7.4	3.91	10.66	14.61	3.18	18.53	47.19	17.13	13.11	9.87	8.1	9.48	2.41	12.52
ADA	22.28	118.71	59.5	65.99	38.03	25.26	49.38	22.5	27.85	57	90.94	46.08	12.1	33.82	48.53	45.13	59.72	37.23	31.47	69.24	39.05	39.96	46.21	32.05	64.12	31.28	33.04	87.65	54.92	125.1	80.23	41.11	47.52	48.25	24.31	42.65	38.6	55.09
ADAM12	47.39	79.14	612.41	20.09	114.1	119.74	32	11.25	27.08	253.33	569.23	17.28	27.97	474.64	83.42	48.35	426.21	52.25	22.38	186.94	338.17	57.72	47.05	106.18	53.02	408.58	92.73	229.55	50.94	384.56	80.23	388.83	186.81	453.99	456.43	120.06	106.15	52.59
ADAMTS12	7.07	15.83	32.09	8.61	10.56	8.42	10.97	11.25	2.71	11.2	43.79	13.99	6.05	15.7	15.17	18.53	28.1	6.61	6.29	34.62	19.53	13.81	18.48	6.01	34.53	10.75	4.26	39.65	3.98	46.33	14.16	34.26	31.14	74.57	89.12	18.96	28.95	32.55
ADAP2	19.45	158.28	138.39	34.43	86.63	36.48	65.83	163.13	33.27	166.61	114.52	73.23	15.12	94.2	154.7	62.85	106.55	44.44	11.89	270.03	92.31	59.69	90.74	56.1	178.8	74.29	62.89	154.42	37.41	352.13	108.54	143.88	211.39	144.75	186.35	183.24	123.04	257.92
ADORA2A	2.83	15.83	12.03	17.22	16.9	7.48	13.72	11.25	8.9	8.28	23.58	11.52	6.8	6.04	13.65	8.06	26.93	9.61	1.4	27.7	11.54	12.83	10.92	12.02	14.8	5.86	18.12	6.26	16.72	37.07	18.88	8.56	18.03	6.58	8.1	20.54	19.3	22.54
AKT1	411.3	197.85	250.71	249.63	213.4	154.35	161.84	388.13	234.81	131.05	215.57	224.62	338.68	245.17	221.44	373.9	225.98	327.9	469.93	308.11	233.44	209.65	160.47	166.28	209.63	275.64	224.9	185.73	230.05	268.73	151.01	191.85	155.68	205.06	248.47	211.68	209.89	267.94
ALCAM	8.49	102.88	157.78	189.38	78.18	56.13	170.07	56.25	36.36	128.13	47.16	60.89	210.92	80.92	83.42	116.84	101.87	111.7	8.39	114.24	284.03	177.1	103.34	62.11	66.59	47.9	85.27	58.43	116.22	166.8	94.38	58.24	67.19	115.14	43.21	61.61	115.8	105.17
ALDOA	1755.56	1654.07	1141.25	1497.8	2057.94	2101.95	2453.27	2351.3	1886.62	3170.02	791.53	2363.82	1322.23	1170.29	1809.41	1776.84	1106.5	1149.45	1758.03	1727.5	2340.58	1603.72	1414.81	2305.92	1693.06	1244.3	2047.55	966.19	3630.61	1408.52	21132.52	1928.74	2041.8	1479.29	1272.05	2337.94	1471.62	1575.08
ALOX5AP	4.6	71.23	108.98	44.47	42.26	43.97	34.75	33.75	28.24	296.2	43.79	54.3	4.54	90.58	45.5	23.37	97.18	33.63	4.9	117.71	205.92	65.61	36.13	46.08	85.08	20.53	86.34	102.25	29.85	250.2	37.75	68.52	75.38	60.31	35.11	63.19	48.25	155.25
ANGPT1	41.73	31.66	136.39	65.99	6.34	91.67	24.69	28.13	12.77	83.79	40.42	79.81	3.78	112.32	57.63	11.28	32.79	3.6	66.43	10.39	134.91	44.89	18.48	152.26	36.99	32.26	27.71	62.6	19.5	32.43	99.1	138.75	42.61	46.06	94.53	28.43	21.71	22.54
ANGPT2	3.54	31.66	68.19	27.26	23.24	14.03	16.46	16.88	2.32	21.44	74.1	15.63	4.54	109.9	33.37	28.2	24.59	6.61	3.5	51.93	24.85	22.69	31.93	6.01	40.69	19.55	8.53	52.17	15.92	13.9	28.32	75.37	45.88	76.76	108.03	18.96	16.89	55.09
ANGPTL4	9.55	31.66	123.69	50.21	105.64	262.86	611.72	84.38	4.26	328.35	212.2	16.46	6.05	42.27	66.73	100.73	14.05	31.83	5.59	3.46	332.85	50.81	99.98	170.29	134.41	69.4	9.59	116.86	234.43	41.7	75.51	208.98	78.66	74.57	162.04	93.2	120.62	52.59
ANLN	37.84	23.74	15.38	37.3	65.5	87.93	17.37	28.13	29.79	37.51	16.84	18.1	19.66	6.04	33.37	16.92	71.42	44.44	52.45	13.85	15.09	18.75	17.64	90.15	23.43	11.73	25.58	37.56	34.63	27.8	51.91	8.56	22.94	13.16	13.5	58.45	14.47	10.02
ANXA1	473.55	498.59	2002.37	784.77	1506.48	7619.21	986.61	56.25	509.47	2498.7	2246.6	858.15	3035.31	1884.05	2623.87	1117.68	892.23	3124.05	162.94	983.19	1674.88	926.42	1213.17	6060.31	1054.31	481.89	626.74	1729.96	2067.24	699.63	1425.19	1253.85	1242.12	972.67	1023.58	1206.88	658.61	661.08
APC	41.38	55.4	57.5	37.3	40.14	58	34.75	22.5	19.73	42.87	84.21	38.67	71.06	55.56	56.12	49.96	65.57	31.83	35.66	51.93	53.26	38.97	36.13	54.09	36.99	48.87	40.5	75.12	39	83.4	80.23	35.97	40.97	33.99	51.31	48.97	36.19	52.59
APH1B	50.93	102.88	43.46	94.69	25.35	13.1	25.6	112.5	47.58	64.31	60.63	52.66	43.85	53.14	57.63	30.62	104.21	13.81	24.48	138.48	69.23	41.44	28.57	14.02	24.66	72.33	90.6	43.82	47.36	111.2	37.75	34.26	42.61	33.99	48.61	34.75	65.14	82.64
