response	timepoint	therapy	cells_n	NKcells_n	clust1_n	clust2_n	clust3_n	clust4_n	clust5_n	clust6_n	clust7_n	clust8_n	clust9_n	clust10_n	clust11_n	clust12_n	clust13_n	NKcells_f	clust1_f	clust2_f	clust3_f	clust4_f	clust5_f	clust6_f	clust7_f	clust8_f	clust9_f	clust10_f	clust11_f	clust12_f	clust13_f
Non-responder	Pre	anti-CTLA4	230	0	0	1	22	0	12	1	5	54	67	6	48	14	0	0	0	0.434782608695652	9.56521739130435	0	5.21739130434783	0.434782608695652	2.17391304347826	23.4782608695652	29.1304347826087	2.60869565217391	20.8695652173913	6.08695652173913	0
Non-responder	Pre	anti-CTLA4+PD1	294	3	6	5	9	23	11	46	0	32	90	57	0	14	1	1.02040816326531	2.04081632653061	1.70068027210884	3.06122448979592	7.82312925170068	3.74149659863946	15.6462585034014	0	10.8843537414966	30.6122448979592	19.3877551020408	0	4.76190476190476	0.340136054421769
Non-responder	Pre	anti-PD1	2514	98	265	44	318	216	38	205	497	219	180	486	19	25	2	3.89817024661893	10.5409705648369	1.75019888623707	12.6491646778043	8.59188544152745	1.5115354017502	8.15433571996818	19.769291964996	8.71121718377088	7.15990453460621	19.3317422434368	0.755767700875099	0.994431185361973	0.0795544948289578
Non-responder	Post	anti-CTLA4+PD1	919	1	7	3	127	14	5	119	4	34	208	261	2	114	21	0.108813928182807	0.761697497279652	0.326441784548422	13.8193688792165	1.5233949945593	0.544069640914037	12.9488574537541	0.43525571273123	3.69967355821545	22.6332970620239	28.4004352557127	0.217627856365615	12.40478781284	2.28509249183896
Non-responder	Post	anti-PD1	6060	139	329	98	787	696	157	775	558	626	417	1238	68	279	32	2.29372937293729	5.42904290429043	1.61716171617162	12.986798679868	11.4851485148515	2.59075907590759	12.7887788778878	9.20792079207921	10.3300330033003	6.88118811881188	20.4290429042904	1.12211221122112	4.6039603960396	0.528052805280528
Responder	Pre	anti-CTLA4	221	11	20	161	17	8	3	5	4	2	1	0	0	0	0	4.97737556561086	9.04977375565611	72.8506787330317	7.69230769230769	3.61990950226244	1.35746606334842	2.26244343891403	1.80995475113122	0.904977375565611	0.452488687782805	0	0	0	0
Responder	Pre	anti-CTLA4+PD1	1255	35	93	3	170	182	6	365	16	18	46	85	1	267	3	2.78884462151394	7.41035856573705	0.239043824701195	13.5458167330677	14.5019920318725	0.47808764940239	29.0836653386454	1.27490039840637	1.43426294820717	3.66533864541833	6.77290836653386	0.0796812749003984	21.2749003984064	0.239043824701195
Responder	Pre	anti-PD1	1174	26	45	4	120	39	3	582	28	28	17	107	10	190	1	2.21465076660988	3.83304940374787	0.340715502555366	10.221465076661	3.32197614991482	0.255536626916525	49.5741056218058	2.38500851788756	2.38500851788756	1.44804088586031	9.11413969335605	0.851788756388416	16.1839863713799	0.0851788756388416
Responder	Post	anti-CTLA4+PD1	1281	3	22	29	156	119	9	188	96	23	35	166	7	377	54	0.234192037470726	1.71740827478532	2.26385636221702	12.1779859484778	9.2896174863388	0.702576112412178	14.6760343481655	7.49414519906323	1.79547228727557	2.73224043715847	12.9586260733802	0.546448087431694	29.4301327088212	4.21545667447307
Responder	Post	anti-PD1	1442	35	61	122	135	191	22	126	440	24	45	19	90	166	1	2.42718446601942	4.23023578363384	8.46047156726768	9.3619972260749	13.245492371706	1.52565880721221	8.7378640776699	30.5131761442441	1.66435506241331	3.12066574202497	1.31761442441054	6.24133148404993	11.5117891816921	0.0693481276005548
