Patient	Tissue	Barcoding.emulsion	Library	Barcode	Total.counts	Percent.counts.from.mitochondrial.genes	Most.likely.LM22.cell.type	Major.cell.type	Minor.subset	used_in_NSCLC_all_cells	x_NSCLC_all_cells	y_NSCLC_all_cells	used_in_NSCLC_and_blood_immune	x_NSCLC_and_blood_immune	y_NSCLC_and_blood_immune	used_in_NSCLC_immune	x_NSCLC_immune	y_NSCLC_immune	used_in_NSCLC_non_immune	x_NSCLC_non_immune	y_NSCLC_non_immune	used_in_blood	x_blood	y_blood	cellID	cellID_new	sizeFactor	UMAP1	UMAP2	clust	CCL5
p3	tumor	p3t	p3t1	bcHNVG	2305	7.11496746203905	T cells CD4 memory resting	tNK cells	tNK2	True	-153.423376587286	-371.844772364786	True	448.767213189023	-982.632503161252	True	523.448084297823	816.134668042252	False	NA	NA	False	NA	NA	24149	1	0.961452501110035	0.28579976936234	-3.39088330349024	1	1.46196760749533
p3	tumor	p3t	p3t1	bcIDFK	2888	9.6606648199446	T cells CD4 memory resting	tNK cells	tNK2	True	-140.333484594776	-426.75408654383	True	393.931642386579	-985.203453298046	True	492.947643002507	840.264158016493	False	NA	NA	False	NA	NA	22284	2	1.0077894979072	0.471182970007786	-3.33061132511194	1	2.11785451290088
p4	tumor	p4t	p4t2	bcHKHJ	1035	8.01932367149758	T cells CD4 memory resting	tNK cells	tNK1	True	25.0099845195675	-114.419744619788	True	594.267741148285	-1294.96838885467	True	508.293128375217	711.021932274198	False	NA	NA	False	NA	NA	34080	3	0.972624836722255	-0.675801070729366	0.505975567492887	2	0
p3	tumor	p3t	p3t2	bcGSJH	1415	8.76325088339223	T cells CD4 memory resting	tNK cells	tNK1	True	-90.5375060512862	-294.164227716677	True	387.26059463413	-1046.62009240799	True	476.099356424996	753.590815865087	False	NA	NA	False	NA	NA	27494	4	0.882399763712685	-0.790692361394039	-1.67041311344202	2	0
p3	tumor	p3t	p3t2	bcHDCQ	1227	8.4759576202119	NK cells resting	tNK cells	tNK1	True	-78.2670749337343	-529.974192323694	True	240.306357949776	-974.450332790482	True	307.520470541686	866.670089878167	False	NA	NA	False	NA	NA	25284	5	1.21415835272241	0.0287682392205091	3.04371657291357	3	0
p1	tumor	p1t	p1t2	bcHIFU	1442	3.46740638002774	NK cells activated	tNK cells	tNK2	True	-201.462486856168	-378.457182733287	True	411.655820381475	-959.485029786698	True	506.615836523262	820.595046405981	False	NA	NA	False	NA	NA	12057	6	1.09990946167693	1.34351238389862	-1.43314591726358	4	0
p7	tumor	p7t	p7t1	bcAXGE	392	12.7551020408163	T cells CD8	tNK cells	tNK1	True	-90.9495310422111	-204.672747379571	True	525.999680802664	-1261.52071161904	True	637.317100029496	480.957358800295	False	NA	NA	False	NA	NA	51665	7	0.8681937806289	-1.5578214250003	-0.211893222537593	2	3.63540886400143
p7	tumor	p7t	p7t1	bcAUMS	533	5.0656660412758	B cells memory	tNK cells	tNK1	True	389.459547303994	31.1351948273819	True	1044.18265755219	-993.48973977466	True	643.706724296777	531.194405859093	False	NA	NA	False	NA	NA	48882	8	0.927768432560757	-0.601754593053928	-2.83105764469202	1	2.30224045867075
p4	tumor	p4t	p4t1	bcDEPY	1374	8.73362445414847	T cells CD8	tNK cells	tNK1	True	-0.560702714653052	98.1933188409319	True	525.161846915231	-1161.82406419697	True	550.315896660676	634.455065147113	False	NA	NA	False	NA	NA	33101	9	0.954317189991402	-1.78755262712585	-2.10522101005609	2	2.79322965715028
p1	tumor	p1t	p1t2	bcHVUU	1623	10.2895871842267	T cells CD8	tNK cells	tNK1	True	-71.6174416876722	-293.919149432419	True	428.717259214991	-1091.08190714108	True	509.522067173843	706.758488745503	False	NA	NA	False	NA	NA	11258	10	1.05118326824273	1.23296436448945	-0.888256914225177	4	1.09744100290018
